"","Didelphis virginiana","Mephitis mephitis","Procyon lotor","Urocyon cinereoargenteus","Vulpes vulpes"
"Amelanchier Llewellyn1952.unidsp.mult",0,0,1,0,0
"Asimina triloba",0,0,1,0,0
"Diospyros virginiana",1,1,1,1,1
"Gaylussacia Llewellyn1952.unidsp.mult",0,0,1,0,0
"Malus pumila",1,0,0,1,1
"Nyssa sylvatica",1,1,0,0,0
"Physalis Llewellyn1952.unidsp.mult",1,0,0,0,0
"Phytolacca americana",1,1,1,1,1
"Prunus avium",0,0,1,0,0
"Prunus serotina",0,0,1,0,0
"Pyrus Llewellyn1952.unidsp.mult",0,0,0,1,1
"Rubus Llewellyn1952.unidsp.mult",1,0,1,0,0
"Rubus pubescens",1,0,1,0,0
"Smilax Llewellyn1952.unidsp.mult",1,1,1,0,0
"Solanum americanum",1,0,0,0,0
"Vaccinium Llewellyn1952.unidsp.mult",0,0,1,0,0
"Vitis Llewellyn1952.unidsp.mult",1,0,1,0,1
