"","Artibeus jamaicensis","Artibeus lituratus","Artibeus Lou2005.unidsp.mult","Carollia Lou2005.unidsp.886","Carollia perspicillata","Carollia sowelli","Chiroderma villosum","Glossophaga soricina","Platyrrhinus helleri","Sturnira lilium","Uroderma bilobatum"
"Cecropia obtusifolia",7,21,2,1,6,7,2,6,2,37,2
"Ficus Lou2005.unidsp.1",1,0,0,0,0,0,0,0,0,0,0
"Ficus Lou2005.unidsp.2",2,0,0,0,0,0,0,0,0,0,1
"Ficus Lou2005.unidsp.3",0,0,1,0,0,0,0,0,0,0,0
"Ficus Lou2005.unidsp.4",4,3,0,0,0,0,1,0,0,0,0
"Ficus obtusifolia",0,5,0,0,0,0,2,0,0,0,0
"Ficus obtusiuscula",13,8,2,0,0,0,0,0,0,0,2
"Moraceae Lou2005.unidsp.938",2,4,1,0,0,0,0,0,0,4,1
"Piper amalago",0,0,0,2,3,7,0,0,0,1,0
"Piper auritum",0,0,1,0,6,0,0,0,0,3,0
"Piper jacquemontianum",0,0,7,0,0,13,0,1,0,9,0
"Piper Lou2005.unidsp.1",0,0,2,0,0,4,0,0,0,0,0
"Piper Lou2005.unidsp.2",0,0,0,1,0,0,0,0,0,0,0
"Piper martensianum",1,1,22,5,11,20,0,3,0,43,0
"Piper patulum",0,0,0,2,2,0,0,0,0,0,0
"Piper psilorhachis",0,0,1,0,0,1,0,0,0,2,0
"Piper sempervirens",0,0,1,1,8,12,0,0,0,1,0
"Solanum blodgettii",0,0,0,0,0,0,0,0,0,2,0
"Solanum erianthum",3,3,8,5,13,2,0,0,1,45,2
"Solanum nudum",0,0,0,1,2,4,0,2,0,13,0
"Solanum torvum",0,1,0,0,0,0,0,0,0,15,0
"Undetermined Lou2005.unidsp.1",0,0,0,0,1,0,0,0,0,0,0
"Undetermined Lou2005.unidsp.2",0,0,0,0,1,0,0,0,0,0,0
"Undetermined Lou2005.unidsp.3",0,0,0,0,0,1,0,0,0,0,0
"Undetermined Lou2005.unidsp.4",1,0,0,0,0,0,0,0,0,0,0
"Undetermined Lou2005.unidsp.5",0,0,0,0,0,2,0,0,0,0,0
"Undetermined Lou2005.unidsp.6",0,0,1,0,0,0,0,0,0,0,0
"Undetermined Lou2005.unidsp.7",0,0,0,1,0,0,0,0,0,0,0
"Undetermined Lou2005.unidsp.8",0,0,0,1,0,0,0,0,0,0,0
