"","Artibeus jamaicensis","Artibeus lituratus","Artibeus Lou2007.unidsp.mult","Carollia perspicillata","Carollia sowelli","Glossophaga Lou2007.unidsp.mult","Sturnira lilium"
"Cecropia obtusifolia",8,23,39,2,19,8,3
"Conostegia xalapensis",0,0,1,0,0,5,0
"Ficus Lou2007.unidsp.1",1,2,2,0,0,0,0
"Ficus Lou2007.unidsp.2",2,3,2,0,0,0,0
"Piper aduncum",0,0,5,7,22,4,6
"Piper auritum",1,1,7,12,33,0,1
"Piper hispidum",0,0,0,6,19,1,2
"Piper jacquemontianum",0,0,35,11,47,2,5
"Piper Lou2007.unidsp.1",0,0,2,0,9,0,0
"Solanum torvum",0,0,4,3,3,0,5
"Solanum umbellatum",1,1,5,12,18,0,19
"Unidentified Lou2007.unidsp.1",0,1,0,0,0,0,0
"Unidentified Lou2007.unidsp.2",0,0,0,0,1,0,0
"Unidentified Lou2007.unidsp.3",1,0,0,0,3,0,0
"Unidentified Lou2007.unidsp.4",0,0,0,0,1,0,0
"Unidentified Lou2007.unidsp.6",0,0,0,0,1,0,0
"Unidentified Lou2007.unidsp.7",0,0,0,0,1,0,0
"Unidentified Lou2007.unidsp.8",0,0,0,0,2,0,0
"Vismia camparaguey",1,1,6,17,36,0,1
