"","Diphyllodes magnificus","Drepanornis albertisi","Lophorina superba","Manucodia chalybatus","Paradisaea raggiana","Paradisaea rudolphi","Parotia lawesii","Phonygammus keraudrenii","Ptiloris magnificus"
"Aglaia M_SD_002NA.unidsp.1",0,0,0,0,3,0,1,0,0
"Aporosa M_SD_002NA.unidsp.1",0,0,1,0,0,0,0,0,0
"Canthium M_SD_002NA.unidsp.1",1,0,0,0,0,0,0,0,0
"Chisocheton M_SD_002NA.unidsp.1",13,5,23,1,13,3,10,7,16
"Cissus aristata",1,0,0,1,0,0,0,0,0
"Cissus hypoglauca",4,1,1,0,5,3,2,13,1
"Dysoxylum M_SD_002NA.unidsp.1",12,0,0,0,17,0,1,1,0
"Endospermum M_SD_002NA.unidsp.1",15,0,9,0,2,0,2,2,0
"Ficus drupacea",0,0,0,0,0,0,0,2,0
"Ficus gul",8,0,1,25,45,1,12,155,0
"Ficus M_SD_002NA.unidsp.181",0,0,0,0,0,1,2,7,0
"Ficus M_SD_002NA.unidsp.202",1,0,0,1,0,0,0,2,0
"Ficus M_SD_002NA.unidsp.217",0,0,0,0,0,0,0,9,0
"Ficus M_SD_002NA.unidsp.246",2,0,0,1,0,0,0,4,0
"Ficus M_SD_002NA.unidsp.275",5,0,2,8,13,4,1,40,0
"Ficus M_SD_002NA.unidsp.371",0,1,4,1,3,7,4,6,0
"Ficus odoardi",8,0,1,19,20,0,6,55,2
"Gastonia M_SD_002NA.unidsp.1",58,0,0,0,24,3,22,17,7
"Glochidion M_SD_002NA.unidsp.1",1,0,0,0,0,0,0,0,0
"Homalanthus M_SD_002NA.unidsp.1",104,0,17,0,75,23,10,4,8
"Magnolia M_SD_002NA.unidsp.1",12,1,2,1,2,0,2,8,0
"Myristica M_SD_002NA.unidsp.1",1,0,0,0,1,0,3,3,0
"Pandanus M_SD_002NA.unidsp.1",5,0,2,0,2,1,0,0,0
"Piper M_SD_002NA.unidsp.1",0,0,0,0,0,0,0,1,0
"Schefflera M_SD_002NA.unidsp.1",2,0,0,0,0,10,47,0,1
"Sloanea aberrans",2,0,0,0,0,0,0,0,0
"Sloanea sogerensis",4,0,2,0,1,0,2,2,0
"Sterculia M_SD_002NA.unidsp.1",0,0,0,0,0,0,1,0,0
"Syzygium M_SD_002NA.unidsp.1",0,0,0,0,1,0,1,8,0
"Uvaria M_SD_002NA.unidsp.1",0,0,0,0,0,0,0,2,0
"Zingiberaceae M_SD_002NA.unidsp.1",2,0,0,1,0,1,0,0,0
