"","Coereba flaveola","Euphonia musica","Loxigilla portoricensis","Margarops fuscatus","Molothrus bonariensis","Myiarchus antillarum","Patagioenas squamosa","Spindalis portoricensis","Turdus plumbeus","Tyrannus caudifasciatus","Tyrannus dominicensis","Vireo altiloquus","Vireo latimeri"
"Alchornea latifolia",0,0,1,0,0,0,0,0,0,0,0,0,0
"Anthurium scandens",0,1,0,0,0,0,0,0,0,0,0,0,0
"Ardisia obovata",0,0,0,0,0,0,0,1,0,0,0,0,0
"Bursera simaruba",0,0,1,0,0,0,0,0,0,0,0,0,0
"Cecropia schreberiana",0,0,1,0,0,0,2,0,1,0,0,0,0
"Chrysophyllum argenteum",0,0,0,1,0,0,0,0,0,0,0,0,0
"Clusia gundlachii",0,0,1,2,0,0,1,0,0,0,0,0,0
"Clusia rosea",1,0,3,3,2,1,0,0,0,0,0,5,1
"Comocladia glabra",0,0,1,0,0,0,0,0,0,0,0,0,0
"Cupania americana",0,0,6,0,0,0,0,0,4,0,2,0,0
"Dendropemon bicolor",0,1,0,0,0,0,0,0,0,0,0,0,0
"Ficus M_SD_005NA.unidsp.1",0,0,1,1,0,0,0,0,0,0,0,0,0
"Guapira fragrans",0,0,0,1,0,0,0,0,0,0,0,0,0
"Guarea guidonia",0,0,13,11,0,1,0,0,4,4,0,1,0
"Hieronyma clusioides",0,0,0,0,0,0,0,3,0,0,0,0,0
"Marcgravia rectiflora",0,0,0,1,0,0,0,0,1,0,0,0,0
"Nectandra coriacea",0,0,0,6,0,0,3,0,4,0,2,0,0
"Persea americana",0,0,0,1,0,0,0,1,0,0,0,0,0
"Petitia domingensis",0,0,0,0,0,0,1,0,0,0,0,0,0
"Phoradendron M_SD_005NA.unidsp.1",0,2,0,0,0,0,0,0,0,0,0,0,0
"Roystonea borinquena",0,0,0,0,0,0,11,0,2,0,0,0,0
"Syzygium malaccense",0,0,0,1,0,0,0,0,0,0,0,0,0
"Unidentified M_SD_005NA.unidsp.1",0,0,1,0,0,0,0,0,0,0,0,0,0
"Unidentified M_SD_005NA.unidsp.2",0,0,0,0,0,0,0,0,1,0,0,0,0
"Zanthoxylum martinicense",0,0,0,1,0,0,0,0,0,0,0,0,0
