"","Columba leucomela","Ducula bicolor","Lopholaimus antarcticus","Macropygia amboinensis","Ptilinopus magnificus","Ptilinopus regina","Ptilinopus superbus"
"Aceratium megalospermum",0,0,0,1,0,0,1
"Alphitonia whitei",0,0,0,0,0,0,1
"Antirhea tenuiflora",0,0,0,0,1,0,1
"Archontophoenix alexandrae",0,0,0,0,1,1,1
"Beccariella xerocarpa",0,0,0,1,0,0,0
"Breynia stipitata",0,0,0,1,0,0,0
"Calamus M_SD_007NA.unidsp.1",0,0,0,0,0,0,1
"Cananga odorata",0,0,0,0,1,0,0
"Canarium australianum",0,1,0,0,1,0,1
"Chionanthus ramiflorus",0,1,0,0,1,1,1
"Cinnamomum laubatii",1,0,0,0,1,0,0
"Cissus hypoglauca",0,0,0,1,1,0,1
"Cissus sterculifolia",0,0,0,0,1,0,1
"Citronella smythii",0,0,0,0,1,0,1
"Clerodendrum tracyanum",0,0,0,0,0,0,1
"Cryptocarya hypospodia",0,1,0,0,1,0,1
"Cryptocarya M_SD_007NA.unidsp.1",1,0,0,0,1,0,1
"Cryptocarya mackinnoniana",0,0,1,0,1,0,1
"Cyclophyllum coprosmoides",0,0,0,0,0,0,1
"Dendrophthoe curvata",0,0,0,0,0,1,0
"Dysoxylum M_SD_007NA.unidsp.1",0,0,0,0,1,0,0
"Dysoxylum oppositifolium",0,0,0,0,1,0,1
"Dysoxylum papuanum",0,0,0,1,1,0,1
"Elaeocarpus angustifolius",0,0,0,0,1,0,1
"Elaeocarpus arnhemicus",0,0,0,0,0,0,1
"Elaeocarpus grahamii",0,0,0,1,1,0,1
"Elaeocarpus largiflorens",0,0,0,0,1,1,1
"Embelia M_SD_007NA.unidsp.1",0,0,0,0,0,0,1
"Endiandra hypotephra",0,0,0,0,1,1,1
"Endiandra muelleri",0,0,0,0,1,1,1
"Eugenia M_SD_007NA.unidsp.1",0,0,0,0,1,0,1
"Ficus destruens",0,1,0,0,1,1,1
"Ficus leptoclada",0,0,0,0,1,0,1
"Ficus virens",0,1,0,0,1,0,1
"Flagellaria M_SD_007NA.unidsp.1",0,0,0,0,1,0,1
"Freycinetia excelsa",0,0,0,1,0,0,0
"Ganophyllum falcatum",0,0,0,0,0,1,0
"Glochidion ferdinandii",0,0,0,1,0,0,1
"Gmelina fasciculiflora",0,0,0,0,1,0,0
"Gomphandra australiana",0,1,0,0,1,0,0
"Hakea laurina",0,0,0,0,1,0,1
"Helicia nortoniana",0,0,0,1,0,0,0
"Hibbertia scandens",0,0,0,1,0,0,0
"Homalanthus populifolius",0,0,0,1,0,0,0
"Hypserpa decumbens",0,0,0,0,1,0,0
"Lantana camara",0,0,0,1,0,0,0
"Litsea bindoniana",0,0,0,1,1,0,1
"Litsea glutinosa",0,1,0,0,0,0,0
"Litsea leefeana",1,0,0,0,1,1,1
"Melia azedarach",0,0,0,0,1,0,0
"Melicope xanthoxyloides",0,0,0,1,0,0,0
"Melodorum leichhardtii",0,0,0,0,0,0,1
"Morinda jasminoides",0,0,0,0,1,0,0
"Myristica globosa subsp. muelleri",0,1,0,0,1,0,1
"Neolitsea dealbata",1,0,0,1,1,1,1
"Notothixos subaureus",0,0,0,1,1,0,1
"Pilidiostigma tropicum",0,0,0,0,0,0,1
"Piper M_SD_007NA.unidsp.1",0,0,0,0,1,0,1
"Planchonella myrsinodendron",0,0,0,0,1,0,0
"Planchonella obovata",0,0,0,0,1,0,0
"Polyscias australiana",0,0,0,1,1,0,1
"Polyscias elegans",0,0,0,1,1,1,1
"Polyscias murrayi",0,0,0,1,1,1,1
"Pothos longipes",0,0,0,1,1,0,1
"Solanum torvum",0,0,0,1,0,0,0
"Solanum viride",0,0,0,1,0,0,0
"Strychnos colubrina",0,0,0,0,1,0,0
"Symplocos paucistaminea",0,0,0,0,0,0,1
"Symplocos stawellii",0,0,0,0,1,0,1
"Syzygium johnsonii",0,0,0,0,1,0,1
"Terminalia sericocarpa",0,0,0,0,1,0,1
"Tetrasynandra laxiflora",0,0,0,0,1,0,1
