"","Chlorophanes spiza","Coereba flaveola","Cyanerpes caeruleus","Cyanerpes cyaneus","Dacnis cayana","Euphonia violacea","Ramphocelus carbo","Tachyphonus luctuosus","Tachyphonus rufus","Tangara guttata","Tangara gyrola","Tangara mexicana","Thraupis episcopus","Thraupis palmarum"
"Aechmea aquilega",0,0,0,0,0,0,14,0,29,0,0,0,0,0
"Aechmea dichlamydea",0,0,0,0,0,0,2,0,1,0,0,0,0,0
"Aechmea fendleri",0,0,0,0,0,0,0,0,3,0,0,0,0,0
"Aechmea mertensii",0,0,0,0,0,0,2,0,2,0,0,0,0,0
"Aechmea nudicaulis",0,0,0,0,0,38,0,0,7,0,0,0,0,0
"Aegiphila integrifolia",0,0,0,0,0,0,0,0,0,0,2,1,0,0
"Alchornea glandulosa",13,0,11,0,16,0,0,0,0,9,13,0,1,14
"Anacardium occidentale",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Anthurium gracile",0,0,0,0,0,4,1,0,4,0,0,0,0,0
"Anthurium scandens",0,0,0,0,0,19,0,4,3,0,0,0,0,0
"Artocarpus altilis",0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Byrsonima spicata",0,0,0,0,1,0,0,0,0,0,10,0,0,0
"Calycolpus goetheanus",0,1,0,0,1,0,2,0,0,0,0,1,2,2
"Castilla elastica",0,0,0,0,0,0,1,0,0,0,0,0,5,0
"Cecropia peltata",5,4,0,0,3,0,17,0,18,3,72,31,26,18
"Chiococca alba",3,0,0,0,0,1,0,0,0,0,1,15,0,0
"Clidemia M_SD_010single.unidsp.1",0,0,0,0,0,3,27,0,9,0,2,0,0,0
"Clusia M_SD_010single.unidsp.1",3,0,14,1,2,0,0,0,0,0,0,0,0,0
"Cordia bicolor",0,5,0,0,0,0,0,0,4,0,5,3,5,5
"Cordia curassavica",0,1,0,0,0,0,18,0,1,0,0,7,2,0
"Coussarea paniculata",0,0,0,0,0,1,5,0,4,0,0,0,6,2
"Cupania M_SD_010single.unidsp.1",0,1,0,8,0,0,0,0,0,0,0,0,0,0
"Davilla kunthii",0,0,0,0,0,0,5,0,1,0,0,0,0,1
"Doliocarpus dentatus",0,0,0,5,1,0,0,0,0,0,0,0,3,3
"Epiphyllum hookeri",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Eugenia baileyi",0,0,0,0,0,0,0,0,0,0,0,3,1,3
"Ficus citrifolia",0,0,0,0,0,3,0,0,2,0,15,4,0,0
"Ficus clusiifolia",12,8,3,5,1,7,0,0,3,2,48,17,8,11
"Ficus religiosa",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Ficus yoponensis",1,0,0,0,0,3,3,0,0,0,4,2,0,0
"Geophila repens",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Guapira eggersiana",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Henriettea M_SD_010single.unidsp.1",0,0,0,0,0,0,2,0,2,0,1,0,0,0
"Hieronyma alchorneoides",5,1,1,0,4,0,0,0,1,4,14,3,0,0
"Ilex M_SD_010single.unidsp.1",0,0,0,0,0,0,1,0,0,0,3,20,0,0
"Isertia parviflora",0,0,0,0,0,0,2,0,3,0,0,0,0,0
"Lacistema aggregatum",1,0,0,0,2,0,1,0,0,0,3,5,1,2
"Laetia procera",0,0,0,0,7,0,5,0,1,0,0,8,1,3
"Marcgravia M_SD_010single.unidsp.793",0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Matayba guianensis",0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Miconia M_SD_010single.unidsp.1",80,12,11,20,52,17,153,5,23,40,127,74,17,35
"Myrcia amazonica",0,0,0,0,0,1,0,0,0,0,11,0,0,0
"Myrcia M_SD_010single.unidsp.1",0,0,2,0,0,0,0,0,0,1,0,3,0,0
"Norantea guianensis",0,0,0,0,2,0,0,0,0,0,1,0,0,0
"Phytolacca rivinoides",0,0,0,0,0,0,1,0,1,0,0,0,0,1
"Pinzona coriacea",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Piper M_SD_010single.unidsp.1",0,0,0,0,0,9,0,0,0,0,0,0,10,0
