"","Chiroxiphia caudata","Coereba flaveola","Conirostrum speciosum","Cyanocorax cristatellus","Cyclarhis gujanensis","Dacnis cayana","Elaenia flavogaster","Habia rubica","Manacus manacus","Myiodynastes maculatus","Myiophobus fasciatus","Penelope superciliaris","Pipraeidea melanonota","Pitangus sulphuratus","Ramphastos toco","Ramphocelus carbo","Saltator similis","Sirystes sibilator","Tachyphonus coronatus","Tangara cayana","Thlypopsis sordida","Thraupis sayaca","Tityra cayana","Trichothraupis melanops","Turdus amaurochalinus","Turdus rufiventris","Tyrannus melancholicus","Tyrannus savana","Vireo olivaceus"
"Cabralea canjerana",1,0,0,0,0,3,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8
"Cecropia pachystachya",1,2,0,0,0,3,1,0,2,0,0,0,0,1,0,2,0,0,16,0,0,5,0,2,0,1,0,0,0
"Cestrum M_SD_012NA.unidsp.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
"Chamissoa altissima",2,0,1,0,0,1,2,1,2,0,0,0,0,0,0,0,2,0,5,2,0,1,0,11,0,0,0,0,0
"Citharexylum myrianthum",6,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,0,0,0
"Copaifera langsdorffii",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cordia M_SD_012NA.unidsp.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Dendropanax cuneatus",2,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,4
"Ficus luschnathiana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maclura tinctoria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Magnolia ovata",0,0,0,0,0,2,6,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0
"Maytenus ilicifolia",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miconia discolor",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miconia elegans",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
