"","Aceros waldeni","Chalcophaps indica","Cynopterus brachyotis","Ducula bicolor","Ducula poliocephala","Hypsipetes philippinus","Macropygia tenuirostris","Megalaima haemacephala","Oriolus chinensis","Penelopides panini","Phapitreron leucotis","Ptenochirus jagori","Ptilinopus occipitalis","Pycnonotus goiavier","Rhabdornis mystacalis","Sarcops calvus","Streptopelia chinensis","Sus cebifrons","Zosterops nigrorum"
"Aglaia M_SD_013NA.unidsp.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Allophylus cobbe",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Bischofia javanica",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"Canarium asperum",0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Dillenia reifferscheidia",0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
"Elaeocarpus cumingii",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Ficus congesta",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ficus heteropleura",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1
"Ficus heteropoda",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ficus M_SD_013NA.unidsp.1",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ficus septica",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ficus variegata",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Garcinia busuangaensis",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Grewia multiflora",0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1
"Guioa pleuropteris",0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0
"Homalanthus fastuosus",0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1
"Homalanthus macradenius",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
"Lithocarpus M_SD_013NA.unidsp.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Litsea luzonica",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"Litsea quercoides",0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Macaranga bicolor",0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1
"Macaranga tanarius",0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,1
"Mallotus mollissimus",0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1
"Memecylon lanceolatum",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Microcos triflora",0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"Myristica cagayanensis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palaquium M_SD_013NA.unidsp.1",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Platea excelsa",1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"Prunus fragrans",0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"Streblus glaber",0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1
"Syzygium garciae",0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0
"Syzygium M_SD_013NA.unidsp.2",0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0
"Syzygium M_SD_013NA.unidsp.3",0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0
"Ternstroemia megacarpa",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Unidentified M_SD_013NA.unidsp.1",0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Unidentified M_SD_013NA.unidsp.2",0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
