"","Aceros corrugatus","Alcippe brunneicauda","Alophoixus bres","Alophoixus finschii","Alophoixus phaeocephalus","Anorrhinus galeritus","Anthracoceros albirostris","Anthracoceros malayanus","Buceros rhinoceros","Calorhamphus fuliginosus","Calyptomena viridis","Chalcophaps indica","Chloropsis cochinchinensis","Chloropsis cyanopogon","Chloropsis sonnerati","Coracina striata","Corvus enca","Dicaeum agile","Dicaeum chrysorrheum","Dicaeum ignipectus","Dicaeum minullum","Dicaeum trigonostigma","Ducula badia","Geokichla interpres","Gracula religiosa","Harpactes diardi","Hemixos cinereus","Iole olivacea","Irena puella","Ixos malaccensis","Lophura ignita","Loriculus galgulus","Megalaima australis","Megalaima chrysopogon","Megalaima henricii","Megalaima mystacophanos","Melanochlora sultanea","Oriolus xanthonotus","Platysmurus leucopterus","Prionochilus maculatus","Prionochilus percussus","Ptilinopus jambu","Pycnonotus atriceps","Pycnonotus brunneus","Pycnonotus cyaniventris","Pycnonotus erythropthalmos","Pycnonotus eutilotus","Pycnonotus finlaysoni","Pycnonotus goiavier","Pycnonotus melanoleucos","Pycnonotus plumosus","Pycnonotus simplex","Pycnonotus squamatus","Pycnonotus zeylanicus","Rhinoplax vigil","Treron capellei","Treron curvirostra","Treron fulvicollis","Treron olax","Tricholestes criniger","Turdus obscurus"
"Ficus benjamina",0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Ficus binnendijkii",0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0
"Ficus bracteata",1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Ficus caulocarpa",0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0
"Ficus consociata",0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus crassiramea",1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"Ficus crassiramea subsp. stupenda",1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
"Ficus cucurbitina",0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"Ficus delosyce",0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"Ficus drupacea",1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"Ficus dubia",1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"Ficus heteropleura",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
