"","Cercopithecus cephus","Cercopithecus nictitans","Cercopithecus pogonias","Colobus satanas","Gorilla gorilla","Lophocebus albigena","Mandrillus sphinx","Pan troglodytes"
"Berlinia bracteosa",1,1,1,1,0,1,0,0
"Detarium macrocarpum",1,1,0,0,1,0,1,0
"Duboscia macrocarpa",0,0,0,0,1,1,1,1
"Elaeis guineensis",1,1,1,0,0,1,1,1
"Ficus M_SD_017NA.unidsp.1",1,1,1,0,1,1,1,1
"Marantochloa M_SD_017NA.unidsp.1",0,0,0,0,1,0,1,0
"Milicia excelsa",0,1,0,0,1,1,0,0
"Ongokea gore",0,0,0,1,0,1,1,0
"Pentaclethra M_SD_017NA.unidsp.1",0,0,0,1,0,1,1,0
"Pentadesma butyracea",1,1,0,1,1,0,0,0
"Pseudospondias longifolia",1,1,1,0,1,1,1,1
"Pycnanthus angolensis",1,1,1,0,0,1,0,1
"Tetrapleura tetraptera",1,1,1,1,0,1,1,0
"Unidentified M_SD_017NA.unidsp.1",1,1,0,0,1,0,1,1
"Unidentified M_SD_017NA.unidsp.2",0,0,0,0,1,0,1,1
"Xylopia M_SD_017NA.unidsp.1",1,1,1,0,0,1,1,0
