"","Erithacus rubecula","Garrulus glandarius","Sylvia atricapilla","Turdus iliacus","Turdus merula","Turdus philomelos","Turdus viscivorus"
"Fragaria vesca",1,0,1,0,1,0,0
"Hedera helix",1,0,0,1,1,1,1
"Ilex aquifolium",1,1,0,1,1,0,1
"Prunus spinosa",0,1,0,0,1,0,0
"Rosa M_SD_024NA.unidsp.1",0,1,0,1,1,0,0
"Solanum americanum",1,0,1,1,1,0,0
"Sorbus aucuparia",0,0,0,1,1,1,1
"Taxus baccata",0,1,0,0,0,0,0
"Unidentified M_SD_024NA.unidsp.1",1,1,1,1,1,0,0
"Unidentified M_SD_024NA.unidsp.2",1,1,0,0,1,0,1
"Unidentified M_SD_024NA.unidsp.3",0,0,0,1,0,0,0
"Vaccinium myrtillus",0,0,1,0,1,1,0
