"","Anthornis melanura","Finschia novaeseelandiae","Prunella modularis","Turdus merula","Turdus philomelos","Zosterops lateralis"
"Berberis glaucocarpa",0,0,0,18,7,13
"Coprosma grandifolia",1,0,0,0,0,0
"Coprosma propinqua",6,0,0,0,0,34
"Coprosma rhamnoides",18,0,0,0,1,42
"Coprosma robusta",294,1,0,108,28,311
"Crataegus monogyna",0,0,0,1,0,0
"Loranthus micranthus",4,0,0,0,0,1
"Melicytus ramiflorus",0,0,1,0,0,30
"Muehlenbeckia australis",3,0,1,1,0,43
"Neopanax arboreus",0,0,0,0,1,95
"Pittosporum tenuifolium",0,0,0,0,0,5
"Pseudowintera colorata",0,0,0,0,15,0
"Taxus baccata",0,0,0,1,1,0
"Vitis vinifera",0,0,0,7,1,0
