"","Hylobates lar","Macaca fascicularis","Presbytis siamensis","Symphalangus syndactylus","Trachypithecus obscurus"
"Artocarpus Mackinnon1980.unidsp.1",0,5.4,0,0,0
"Artocarpus rigidus",0,5.2,1.3,0,0.2
"Derris Mackinnon1980.unidsp.1",2.4,1.3,1.4,3,4.6
"Dialium Mackinnon1980.unidsp.1",0,3,1.9,0,1
"Eugenia Mackinnon1980.unidsp.1",2.7,0.1,3.7,0.3,1.7
"Ficus Mackinnon1980.unidsp.mult",27.1,12.1,2.2,31.4,2.1
"Gnetum tenuifolium",3.7,0.9,1.1,1.2,0.7
"Intsia palembanica",0.7,1.4,5.2,0.1,3.7
"Koompassia malaccensis",0.4,0,0.2,0.03,6
"Maranthes corymbosa",1.5,4.5,4.9,0.4,19.5
"Microcos laurifolia",6.7,10.6,1,0.9,2.9
"Microstemon velutinus",0,0.7,7.3,0.02,7.1
"Oxymitra philipes",0.9,0.6,1.1,0.8,1.2
"Poikilospermum Mackinnon1980.unidsp.1",0.05,0.4,2,0.5,2.1
"Sandoricum koetjape",0,1.5,2.4,0,3.1
"Sloetia elongata",4.9,0.4,4.2,12.3,1.9
"Ventilago Mackinnon1980.unidsp.1",1.6,4.7,1.2,0.05,2.2
"Xerospermum noronhianum",1.1,3.9,0.9,1.5,0.1
"Xylopia magna",0.2,1.9,0.9,1.4,2.1
