"","Amazona aestiva","Aratinga aurea","Coryphospingus cucullatus","Cyanocorax cristatellus","Cyclarhis gujanensis","Elaenia Malaccoda.unidsp.mult","Euphonia chlorotica","Formicivora rufa","Gnorimopsar chopi","Icterus pyrrhopterus","Knipolegus lophotes","Megarynchus pitangua","Melanerpes candidus","Mimus saturninus","Myiarchus Malaccoda.unidsp.713","Neothraupis fasciata","Orthopsittaca manilata","Patagioenas cayennensis","Patagioenas picazuro","Pitangus sulphuratus","Saltator similis","Schistochlamys ruficapillus","Sporophila Malaccoda.unidsp.mult","Tangara cayana","Tersina viridis","Thraupis palmarum","Thraupis sayaca","Turdus amaurochalinus","Turdus leucomelas","Tyrannus albogularis","Tyrannus melancholicus","Tyrannus savana","Volatinia jacarina"
"Blepharocalyx salicifolius",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,2,1,0,0
"Byrsonima intermedia",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1
"Cabralea canjerana",0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Caryocar brasiliense",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coccoloba Malaccoda.unidsp.152",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
"Copaifera langsdorffii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0
"Erythroxylum Malaccoda.unidsp.3",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Eugenia calycina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
"Eugenia punicifolia",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Ilex affinis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"Mauritia flexuosa",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Miconia albicans",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Miconia fallax",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
"Miconia theizans",0,0,1,0,0,8,1,0,0,0,2,0,0,1,0,1,0,0,0,1,1,0,0,2,2,4,1,0,2,0,2,0,0
"Myrcia guianensis",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Myrcia variabilis",0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Myrtaceae Malaccoda.unidsp.626",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ocotea Malaccoda.unidsp.392",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Ouratea spectabilis",0,1,0,0,0,4,0,0,1,0,0,0,0,2,0,2,0,0,1,0,0,1,2,0,0,0,0,0,0,1,2,1,0
"Smilax brasiliensis",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Styrax ferrugineus",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0
