"","Artibeus fimbriatus","Artibeus lituratus","Carollia perspicillata","Platyrrhinus lineatus","Platyrrhinus recifinus","Sturnira lilium","Vampyressa pusilla"
"Cecropia glaziovii",0,0,0,0,0,4,0
"Dyssochroma viridiflora",0,0,3,0,0,7,0
"Ficus enormis",1,7,0,12,2,5,0
"Ficus Mello2014.unidsp.1",0,0,0,0,0,0,1
"Philodendron Mello2014.unidsp.1",0,0,2,1,0,0,0
"Piper Mello2014.unidsp.1",0,0,0,0,0,6,1
"Piper richardiifolium",0,0,0,0,0,1,0
"Solanum granuloso-leprosum",0,0,0,0,0,3,0
"Solanum mauritianum",0,0,2,0,0,2,0
"Solanum pseudoquina",0,0,0,0,0,8,0
"Solanum swartzianum",0,0,1,0,0,20,0
"Vismia brasiliensis",0,0,1,0,0,1,0
