"","Cebus albifrons","Cheracebus lucifer","Cuniculus paca","Dasyprocta fuliginosa","Eira barbara","Lagothrix lagothricha","Leontocebus fuscicollis","Mazama americana","Myoprocta pratti","Nasua nasua","Pecari tajacu","Pithecia aequatorialis","Plecturocebus discolor","Potos flavus","Saimiri sciureus","Sapajus apella","Sciurus Montalvan2015.unidsp.271"
"Abuta imene",0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"Anacardium giganteum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Astrocaryum chambira",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"Attalea butyracea",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bellucia pentamera",0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"Brosimum potabile",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Caryocar glabrum",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cecropia latiloba",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"Chrysophyllum prieurii",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Cissus verticillata",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Clusia loretensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Connarus punctatus",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Couma macrocarpa",0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
"Coussapoa villosa",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Cybianthus Montalvan2015.unidsp.214",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Diclinanona calycina",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Dilkea retusa",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Elephantomene eburnea",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus coerulescens",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Garcinia macrophylla",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Guatteria longicuspis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helicostylis tomentosa",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Hymenaea oblongifolia var. palustris",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Inga brachyrhachis",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Inga ciliata",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"Inga punctata",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Iryanthera tricornis",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Lacistema aggregatum",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Minquartia guianensis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Naucleopsis oblongifolia",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Oenocarpus bataua",1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"Oxandra xylopioides",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Parahancornia peruviana",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"Parkia nitida",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Passiflora coccinea",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Pleurisanthes flava",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Pouteria Montalvan2015.unidsp.621",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Protium divaricatum",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Protium unifoliolatum",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Pseudolmedia laevigata",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudolmedia laevis",1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0
"Quiina klugii",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Rauvolfia sprucei",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rollinia cuspidata",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Sacoglottis amazonica",0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"Schefflera morototoni",0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
"Socratea exorrhiza",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Strychnos amazonica",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Strychnos brachirhachis",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Strychnos ciliata",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Tapirira retusa",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"Tapura coriacea",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Theobroma subincanum",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Vantanea spichigeri",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virola pavonis",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Wettinia augusta",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Xylopia aromatica",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
