"","Artibeus jamaicensis","Artibeus lituratus","Artibeus phaeotis","Carollia brevicauda","Carollia castanea","Carollia perspicillata","Chiroderma salvini","Enchisthenes hartii","Phyllostomus hastatus","Platyrrhinus vittatus","Sturnira lilium","Sturnira ludovici"
"Asplundia tetragona",0,0,0,1,0,0,0,0,0,0,0,0
"Cecropia reticulata",0,0,0,0,0,0,0,0,1,0,0,0
"Ficus insipida",1,1,1,0,0,0,1,0,0,1,0,0
"Philodendron Moreno-Mosquera2011.unidsp.1",0,0,0,1,0,0,0,0,0,0,0,1
"Philodendron Moreno-Mosquera2011.unidsp.2",0,0,1,0,0,0,0,0,0,0,0,0
"Physalis Moreno-Mosquera2011.unidsp.843",0,0,1,0,0,0,0,0,0,0,1,0
"Piper aduncum",1,1,1,1,1,0,0,0,0,0,1,0
"Piper augustum",0,0,0,0,0,1,0,0,0,0,1,1
"Piper hispidum",0,0,1,1,0,1,0,0,0,0,0,0
"Piper Moreno-Mosquera2011.unidsp.1",0,0,1,0,0,0,0,0,0,0,0,0
"Piper Moreno-Mosquera2011.unidsp.2",1,0,0,0,0,1,0,0,0,0,0,0
"Piper schiedeanum",0,0,1,1,1,1,0,0,0,0,0,0
"Piper septuplinervium",0,0,0,0,1,1,0,0,0,0,0,0
"Poulsenia armata",0,0,0,0,0,0,1,0,0,0,0,0
"Prunus integrifolia",0,1,0,0,0,0,0,1,0,0,0,0
"Psidium guajava",0,0,0,0,1,0,0,0,0,0,0,0
"Rosaceae Moreno-Mosquera2011.unidsp.1",1,0,0,0,0,0,0,0,0,0,0,0
"Rosaceae Moreno-Mosquera2011.unidsp.2",1,0,0,0,0,0,0,0,0,0,0,0
"Solanum Moreno-Mosquera2011.unidsp.1",0,0,1,0,0,0,0,0,0,0,0,0
"Solanum Moreno-Mosquera2011.unidsp.2",0,1,0,0,0,0,0,0,0,0,0,0
"Vismia baccifera",0,0,0,1,0,0,0,0,0,0,0,0
