"","Artibeus lituratus","Artibeus planirostris","Carollia perspicillata","Glossophaga soricina","Lophostoma silvicolum","Phyllostomus discolor","Phyllostomus hastatus","Platyrrhinus lineatus","Sturnira lilium"
"Cecropia pachystachya",2,20,0,4,0,0,1,10,4
"Ficus crocata",2,52,1,3,2,1,0,13,7
"Ficus insipida",0,3,0,0,0,0,0,1,0
"Ficus obtusifolia",1,16,0,0,1,0,0,4,0
"Maclura tinctoria",0,9,0,0,0,0,0,0,2
"Piper aduncum",0,1,0,1,0,0,0,0,1
"Piper tuberculatum",0,2,5,0,2,0,1,3,15
"Unidentified Munin2012.unidsp.1",0,0,0,1,0,0,0,0,0
"Unidentified Munin2012.unidsp.2",1,0,0,0,0,0,0,0,0
"Unidentified Munin2012.unidsp.3",0,0,0,0,0,0,0,1,0
