"","Artibeus cinereus","Artibeus fimbriatus","Artibeus lituratus","Artibeus obscurus","Carollia perspicillata","Sturnira lilium","Sturnira tildae"
"Cecropia glaziovii",0,1,22,0,0,2,2
"Cecropia pachystachya",0,2,33,2,0,2,0
"Ficus luschnathiana",0,2,0,0,0,0,0
"Ficus Munster2008.unidsp.1",0,0,2,0,0,0,0
"Ficus Munster2008.unidsp.2",0,3,12,6,0,0,1
"Moraceae Munster2008.unidsp.1",0,1,1,4,0,0,0
"Ottonia Munster2008.unidsp.1",0,0,0,0,5,0,0
"Passiflora elegans",0,0,0,0,1,0,0
"Piper imaturo",0,0,0,0,3,0,1
"Piper lindbergii",1,0,1,4,37,0,4
"Piper Munster2008.unidsp.1",0,0,6,2,21,0,2
"Piper Munster2008.unidsp.2",2,1,12,4,9,10,8
"Piper Munster2008.unidsp.3",1,0,0,0,6,2,4
"Piper Munster2008.unidsp.4",2,0,0,0,12,5,1
"Piper Munster2008.unidsp.5",0,0,0,3,7,3,1
"Piper Munster2008.unidsp.6",0,0,0,0,1,2,4
"Piperaceae Munster2008.unidsp.1",0,0,0,0,5,0,0
"Rubus Munster2008.unidsp.1",0,0,1,0,0,0,0
"Solanum Munster2008.unidsp.1",0,0,0,0,0,0,1
"Solanum Munster2008.unidsp.2",0,0,0,0,0,1,0
"Solanum Munster2008.unidsp.3",0,0,0,0,0,2,2
"Solanum Munster2008.unidsp.4",0,0,0,0,0,7,0
"Solanum Munster2008.unidsp.5",0,0,0,0,0,3,1
"Solanum Munster2008.unidsp.6",0,0,1,0,0,0,0
"Solanum Munster2008.unidsp.7",0,0,2,0,0,0,1
"Solanum Munster2008.unidsp.8",0,0,0,0,0,1,0
"Solanum scuticum",0,0,0,0,1,1,0
"Unidentified Munster2008.unidsp.915",0,0,0,0,2,0,0
