"","Camarhynchus pallidus","Camarhynchus parvulus","Certhidea fusca","Certhidea olivacea","Chelonoidis chathamensis","Crotophaga ani","Geospiza fortis","Geospiza fuliginosa","Geospiza magnirostris","Microlophus bivittatus","Microlophus indefatigabilis","Mimus melanotis","Mimus parvulus","Myiarchus magnirostris","Platyspiza crassirostris","Setophaga petechia"
"Boerhavia coccinea",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Brachiaria multiculma",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Bursera graveolens",0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0
"Chiococca alba",0,0,0,0,0,0,0,0,0,21,8,17,2,0,0,0
"Citrus Nogales2017.unidsp.624",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Clerodendrum villosum",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Cordia leucophlyctis",0,0,0,0,0,0,0,0,0,20,0,0,1,0,0,0
"Cordia lutea",0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0
"Crotalaria pumila",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Croton scouleri",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Cryptocarpus pyriformis",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Desmodium incanum",0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
"Desmodium procumbens",0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0
"Eragrostis Nogales2017.unidsp.133",0,0,0,0,0,0,1,43,1,0,0,0,0,0,1,0
"Eriochloa pacifica",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Fimbristylis dichotoma",0,0,0,0,2,0,0,20,0,0,0,0,0,0,0,1
"Hippomane mancinella",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Hypoxis decumbens",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Ipomoea nil",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Lantana camara",0,0,0,0,1,0,0,0,0,9,29,5,0,8,0,0
"Lantana peduncularis",0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0
"Ludwigia leptocarpa",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Maytenus octogona",0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
"Mentzelia aspera",0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
"Miconia robinsoniana",7,13,3,4,0,2,5,28,0,0,0,1,0,6,4,69
"Momordica charantia",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Opuntia echios",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"Panicum Nogales2017.unidsp.497",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Paspalum conjugatum",0,1,1,0,0,1,0,24,0,0,0,0,0,0,0,7
"Passiflora foetida",0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"Pennisetum purpureum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Pilea baurii",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Poaceae Nogales2017.unidsp.mult",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Psidium galapageium",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"Psidium guajava",0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0
"Rubus niveus",1,0,0,0,0,0,2,1,0,0,1,6,0,10,0,0
"Scutia spicata",0,0,0,0,0,0,0,0,0,10,0,1,7,3,0,0
"Sida ciliaris",0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0
"Sida hederifolia",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Sida rhombifolia",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Sida spinosa",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Solanum americanum",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Talinum paniculatum",0,3,0,0,2,0,1,4,1,0,0,0,0,0,0,1
"Tournefortia psilostachya",0,0,0,0,0,1,1,0,0,76,0,5,30,10,1,11
"Tournefortia pubescens",0,0,0,0,0,0,0,0,0,15,6,2,16,2,0,0
"Tournefortia rufo-sericea",0,0,0,0,0,0,0,0,0,4,4,0,1,0,0,0
"Tradescantia fluminensis",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Vallesia glabra",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"Zanthoxylum fagara",0,0,0,0,0,1,0,0,0,6,27,6,2,21,0,0
