"","Columba janthina","Ficedula narcissina","Hypsipetes amaurotis","Macaca fuscata","Treron formosae","Turdus chrysolaus","Turdus pallidus","Zoothera dauma","Zosterops japonicus"
"Actinidia arguta",0,0,0,2,0,0,0,0,0
"Ardisia sieboldii",0,0,1,2,0,0,2,0,0
"Cerasus jamasakura var. jamasakura",0,0,1,3,0,0,0,0,0
"Cleyera japonica",1,0,1,2,1,0,2,1,1
"Daphniphyllum teysmannii",1,0,2,1,0,2,0,0,0
"Diospyros morrisiana",0,0,0,1,1,0,0,0,0
"Elaeocarpus japonicus",0,0,0,2,0,0,0,0,0
"Elaeocarpus sylvestris",0,0,0,1,0,0,0,0,0
"Eurya japonica",0,0,2,3,2,0,1,0,2
"Litsea acuminata",0,0,3,3,0,0,0,0,0
"Machilus thunbergii",0,0,2,3,0,0,0,0,0
"Morinda umbellata",0,0,0,1,0,0,0,0,0
"Myrica rubra",1,0,1,3,2,0,0,0,0
"Myrsine seguinii",0,0,2,3,0,0,2,0,2
"Neolitsea aciculata",0,0,2,2,0,0,0,0,0
"Neolitsea sericea",0,0,0,2,0,0,0,0,0
"Psychotria serpens",0,0,0,2,0,0,0,0,0
"Rhaphiolepis indica",0,0,0,3,0,0,0,0,0
"Schefflera heptaphylla",2,0,2,1,0,0,2,0,1
"Symplocos sumuntia",0,1,2,1,2,1,1,0,1
"Syzygium buxifolium",0,0,0,2,0,0,0,0,0
"Taxillus yadoriki",0,0,1,2,0,0,0,0,0
"Vaccinium bracteatum",0,0,0,3,0,0,3,0,0
