"","Artibeus fraterculus","Artibeus jamaicensis","Carollia brevicauda","Carollia perspicillata","Glossophaga soricina","Platyrrhinus matapalensis","Sturnira luisi"
"Acnistus arborescens",29,0,2,7,8,0,14
"Cecropia Novoa2011.unidsp.498",5,0,1,0,0,0,2
"Cecropia polystachya",23,2,0,0,1,1,0
"Ficus americana subsp. guianensis",14,0,0,0,0,0,1
"Ficus eximia",17,0,0,0,0,0,1
"Ficus gomelleira",1,0,0,0,0,0,0
"Ficus maxima",2,0,0,0,0,0,0
"Ficus Novoa2011.unidsp.1",1,0,0,0,0,0,0
"Ficus Novoa2011.unidsp.2",0,0,0,0,0,0,1
"Ficus Novoa2011.unidsp.3",1,0,0,0,0,0,1
"Ficus obtusifolia",3,7,0,0,0,0,0
"Miconia Novoa2011.unidsp.232",1,0,0,0,1,0,0
"Muntingia calabura",4,0,2,5,2,0,1
"Piper aduncum",0,0,2,1,0,0,1
"Piper amalago",0,0,0,0,0,0,1
"Piper arboreum",0,0,0,3,0,0,0
"Piper Novoa2011.unidsp.902",0,0,0,0,1,0,0
"Solanum Novoa2011.unidsp.364",7,0,0,0,1,0,1
"Unidentified Novoa2011.unidsp.1",4,0,0,1,0,0,0
"Unidentified Novoa2011.unidsp.2",1,0,0,0,0,0,0
"Unidentified Novoa2011.unidsp.3",0,0,0,2,0,0,0
"Unidentified Novoa2011.unidsp.4",0,0,0,3,0,0,0
