"","Bubulcus ibis","Camarhynchus pallidus","Camarhynchus parvulus","Camarhynchus psittacula","Certhidea fusca","Certhidea olivacea","Coccyzus melacoryphus","Crotophaga ani","Geospiza conirostris","Geospiza fortis","Geospiza fuliginosa","Geospiza magnirostris","Geospiza scandens","Mimus melanotis","Mimus parvulus","Myiarchus magnirostris","Platyspiza crassirostris","Setophaga petechia","Zenaida galapagoensis"
"Adenostemma platyphyllum",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Bursera graveolens",0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
"Capraria biflora",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Capsicum annuum",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Cardiospermum corindum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Castela galapageia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Chiococca alba",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Cordia leucophlyctis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Cordia lutea",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Cryptocarpus pyriformis",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Desmodium procumbens",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"Eriochloa pacifica",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Euphorbia amplexicaulis",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Fimbristylis dichotoma",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Kyllinga brevifolia",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Lantana camara",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"Lantana peduncularis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Laportea aestuans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Ludwigia leptocarpa",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Maytenus octogona",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Mentzelia aspera",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Merremia aegyptia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Miconia robinsoniana",0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0
"Momordica charantia",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
"Opuntia echios",0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1
"Opuntia helleri",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Paspalum conjugatum",0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"Passiflora foetida",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Passiflora suberosa",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Pennisetum purpureum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Polygonum opelousanum",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
"Portulaca oleracea",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
"Psidium guajava",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Rubus niveus",0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0
"Scalesia pedunculata",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scutia spicata",0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0
"Sesuvium portulacastrum",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Sida spinosa",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Solanum americanum",0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
"Solanum lycopersicum",0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
"Talinum paniculatum",0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"Tephrosia cinerea",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tournefortia psilostachya",0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0
"Tournefortia pubescens",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
"Tournefortia rufo-sericea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Vallesia glabra",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Zanthoxylum fagara",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
