"","Artibeus fimbriatus","Artibeus lituratus","Artibeus planirostris","Carollia perspicillata","Sturnira lilium","Sturnira tildae"
"Aureliana Passos2003.unidsp.1",0,0,0,0,1,0
"Cecropia glaziovii",5,3,1,0,1,0
"Cecropia pachystachya",3,1,0,0,0,0
"Ficus luschnathiana",2,1,0,0,0,0
"Ficus Passos2003.unidsp.1",3,1,0,0,1,0
"Philodendron appendiculatum",0,0,0,0,1,0
"Piper aduncum",0,0,0,2,0,0
"Piper dilatatum",0,0,0,5,0,0
"Piper Passos2003.unidsp.1",1,0,0,2,4,0
"Rubus bogotensis var. brasiliensis",0,0,0,2,1,0
"Solanum cinnamomeum",0,0,0,0,1,0
"Solanum megalochiton",0,0,0,1,0,0
"Solanum paranense",0,0,0,2,2,1
"Solanum Passos2003.unidsp.1",1,0,0,1,15,3
"Solanum rufescens",0,0,0,0,1,0
"Solanum sanctae-katharinae",0,0,0,0,3,0
"Solanum scuticum",0,1,0,0,1,1
"Solanum subsylvestris",0,0,0,0,3,0
"Solanum swartzianum",0,0,0,0,3,0
"Solanum variabile",0,0,0,1,3,0
"Unidentified Passos2003.unidsp.mult",4,0,0,0,1,0
"Vassobia breviflora",1,0,0,0,11,0
"Vismia Passos2003.unidsp.1",0,0,0,0,1,0
