"","Artibeus planirostris","Carollia perspicillata","Chiroderma doriae","Glossophaga soricina","Platyrrhinus lineatus","Sturnira lilium"
"Cecropia pachystachya",0,1,0,1,14,1
"Copaifera langsdorfii",0,0,0,0,0,2
"Ficus Pedro1992.unidsp.1",1,0,1,0,4,1
"Miconia albicans",0,0,0,1,0,0
"Piper amalago",0,24,0,0,0,5
"Piper arboreum",0,1,0,0,1,2
"Piper gaudichaudianum",0,11,0,0,0,1
"Piper Pedro1992.unidsp.mult",0,2,0,0,0,1
"Solanum paniculatum",0,0,0,0,0,2
"Solanum Pedro1992.unidsp.3",0,0,0,0,0,4
"Solanum pseudoquina",0,1,0,0,0,4
"Unidentified Pedro1992.unidsp.1",0,1,0,0,3,0
