"","Chloris chloris","Coccothraustes coccothraustes","Cyanistes caeruleus","Emberiza citrinella","Erithacus rubecula","Fringilla montifringilla","Garrulus glandarius","Hippolais icterina","Parus major","Parus montanus","Passer domesticus","Phoenicurus ochruros","Phoenicurus phoenicurus","Phylloscopus collybita","Sturnus vulgaris","Sylvia atricapilla","Sylvia borin","Sylvia communis","Sylvia curruca","Turdus iliacus","Turdus merula","Turdus philomelos","Turdus pilaris","Turdus viscivorus"
"Cornus sanguinea",0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0
"Crataegus laevigata",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Crataegus monogyna",0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0
"Elaeagnus rhamnoides",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"Euonymus Plein2013.unidsp.388",0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
"Ligustrum vulgare",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Malus domestica",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rosa Plein2013.unidsp.mult",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Rubus vestitus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Sambucus nigra",0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0
"Sorbus aucuparia",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"Viburnum opulus",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1
