"","Corvus corone","Cyanistes caeruleus","Dendrocopos major","Fringilla coelebs","Garrulus glandarius","Parus major","Passer domesticus","Passer montanus","Phoenicurus ochruros","Phoenicurus phoenicurus","Phylloscopus collybita","Pyrrhula pyrrhula","Streptopelia decaocto","Sturnus vulgaris","Sylvia atricapilla","Sylvia borin","Sylvia communis","Sylvia curruca","Turdus merula","Turdus philomelos","Turdus pilaris","Turdus viscivorus"
"Cornus sanguinea",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"Crataegus monogyna",0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"Lonicera xylosteum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Prunus avium",1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0
"Prunus domestica",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Prunus padus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
"Rubus vestitus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"Sambucus ebulus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Sambucus nigra",0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0
"Sorbus aucuparia",0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1
"Taxus baccata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Viburnum lantana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
