"","Cercopithecus cephus","Cercopithecus nictitans","Cercopithecus pogonias","Colobus guereza","Gorilla gorilla","Lophocebus albigena","Pan troglodytes"
"Aframomum leptolepis",1,0,1,0,1,1,1
"Aidia Poulsen2001.unidsp.464",0,1,1,0,0,0,0
"Albizia ferruginea",0,1,1,1,0,1,0
"Allanblackia floribunda",0,1,1,0,0,1,0
"Alstonia boonei",0,1,1,0,0,0,0
"Annickia chlorantha",1,1,1,1,0,1,1
"Anonidium mannii",0,0,0,0,0,1,0
"Antidesma Poulsen2001.unidsp.153",0,0,0,0,0,1,0
"Antrocaryon klaineanum",0,1,0,0,1,0,1
"Apocynaceae Poulsen2001.unidsp.1",1,1,1,0,0,1,0
"Apocynaceae Poulsen2001.unidsp.2",0,1,1,0,0,1,0
"Apocynaceae Poulsen2001.unidsp.3",0,1,0,0,0,1,0
"Apocynaceae Poulsen2001.unidsp.4",1,1,1,0,0,1,0
"Baillonella toxisperma",0,1,1,0,0,1,0
"Blighia welwitschii",0,1,1,0,0,1,0
"Breviea Poulsen2001.unidsp.945",0,1,0,0,0,0,0
"Bridelia grandis",0,0,0,1,0,0,0
"Canarium schweinfurthii",0,1,1,0,0,1,0
"Carapa procera",0,1,0,0,0,0,0
"Celtis mildbraedii",1,1,1,1,0,1,0
"Celtis tessmannii",0,1,0,0,0,0,0
"Chrysophyllum boukokoense",1,1,0,0,0,1,0
"Chrysophyllum lacourtianum",0,1,0,1,0,1,0
"Chrysophyllum perpulchrum",1,1,1,1,0,1,0
"Chrysophyllum ubanguiense",1,0,0,0,1,1,0
"Cissus diffusiflora",0,1,0,0,0,0,0
"Cissus dinklagei",1,1,1,1,0,1,0
"Cissus producta",1,1,1,0,0,0,0
"Cleistopholis glauca",1,1,1,1,0,1,0
"Coelocaryon preussii",1,1,0,0,0,1,0
"Cola Poulsen2001.unidsp.1",0,0,0,0,0,1,0
"Combretum congolanum",0,1,0,1,0,1,0
"Dalbergia hostilis",0,0,0,0,0,1,0
"Desplatsia dewevrei",0,0,0,0,0,1,0
"Dialium guineense",0,1,0,0,0,1,0
"Dichapetalum heudelotii",0,1,0,0,0,1,0
"Dichapetalum mombuttense",1,1,1,0,0,1,0
"Discoglypremna caloneura",0,1,0,0,0,1,0
"Drypetes chevalieri",1,1,1,0,0,1,0
"Drypetes gossweileri",0,1,0,0,0,0,0
"Duboscia macrocarpa",1,1,1,0,1,1,1
"Duguetia staudtii",0,1,1,0,1,1,0
"Elaeis guineensis",0,1,0,0,0,1,0
"Eremospatha macrocarpa",0,0,0,0,1,1,1
"Eribroma oblongum",0,0,0,1,0,1,0
"Eriocoelum macrocarpum",1,1,1,0,0,1,0
"Erythrophleum suaveolens",0,0,0,0,0,1,1
"Euphorbiaceae Poulsen2001.unidsp.1",1,1,1,0,0,1,0
"Euphorbiaceae Poulsen2001.unidsp.328",1,1,0,0,0,1,0
"Fernandoa adolfi-friderici",0,0,0,0,1,0,0
"Ficus jansii",1,1,1,0,0,0,0
"Ficus Poulsen2001.unidsp.3",0,0,1,0,0,1,0
"Ficus Poulsen2001.unidsp.4",0,0,1,0,0,0,0
"Ficus Poulsen2001.unidsp.mult",1,1,1,0,1,1,1
"Ficus variifolia",0,0,0,0,0,1,0
"Funtumia elastica",0,1,0,0,0,0,0
"Garcinia kola",0,1,0,0,0,0,0
"Garcinia mannii",1,1,1,0,0,1,0
"Garcinia Poulsen2001.unidsp.1",1,1,1,0,0,1,0
"Garcinia Poulsen2001.unidsp.2",0,1,0,0,0,1,0
"Garcinia punctata",1,1,1,0,0,1,0
"Garcinia smeathmannii",1,1,1,0,0,1,0
"Greenwayodendron suaveolens",1,1,1,1,0,1,0
"Grewia hookeriana",1,1,1,0,1,1,1
"Guarea cedrata",1,1,0,0,0,0,0
"Guarea thompsonii",0,1,0,1,0,0,0
"Heisteria zimmereri",1,1,1,0,0,1,0
"Hexalobus crispiflorus",0,1,0,0,0,0,0
"Hylodendron gabunense",0,0,0,0,0,1,0
"Irvingia grandifolia",1,1,0,0,0,1,0
"Klainedoxa gabonensis",1,1,1,0,0,1,0
"Klainedoxa macrophylla",0,1,1,1,0,1,0
"Landolphia owariensis",0,1,1,0,0,1,0
