"","Artibeus jamaicensis","Artibeus lituratus","Artibeus phaeotis","Artibeus toltecus","Carollia sowelli","Carollia subrufa","Choeroniscus godmani","Glossophaga morenoi","Sturnira lilium","Sturnira ludovici"
"Cecropia obtusifolia",1,0,0,0,7,0,0,1,1,2
"Cestrum Preciado-Benitez2015.unidsp.1",1,0,0,1,2,0,0,0,0,0
"Ficus americana",4,0,0,4,2,0,1,3,0,0
"Ficus insipida",6,0,0,0,1,0,0,0,0,0
"Ficus maxima",7,2,1,9,1,0,0,0,0,0
"Muntingia calabura",0,0,0,0,3,0,1,1,0,0
"Piper aduncum",0,0,0,0,11,0,0,0,0,0
"Piper hispidum",0,0,0,0,4,0,0,0,1,1
"Piper Preciado-Benitez2015.unidsp.1",0,0,0,0,3,0,0,0,0,0
"Piper umbellatum",0,0,0,0,4,0,0,0,0,0
"Psychotria Preciado-Benitez2015.unidsp.1",1,0,0,0,15,1,0,0,0,1
"Solanum erianthum",3,0,0,0,17,0,0,0,0,0
"Solanum torvum",0,0,0,0,4,0,0,0,1,2
"Unidentified Preciado-Benitez2015.unidsp.1",0,0,0,0,0,0,0,0,1,0
