"","Antilophia galeata","Brotogeris chiriri","Camptostoma obsoletum","Celeus flavescens","Cnemotriccus fuscatus","Cyanerpes cyaneus","Cyanocorax cyanopogon","Cyclarhis gujanensis","Dacnis cayana","Elaenia chiriquensis","Elaenia flavogaster","Elaenia mesoleuca","Empidonomus varius","Eucometis penicillata","Hemithraupis guira","Megarynchus pitangua","Momotus momota","Myiarchus swainsoni","Myiodynastes maculatus","Nemosia pileata","Pachyramphus viridis","Patagioenas speciosa","Penelope superciliaris","Pipra fasciicauda","Pitangus sulphuratus","Ramphastos vitellinus","Ramphocelus carbo","Saltator maximus","Saltator similis","Sirystes sibilator","Tachyphonus cristatus","Tachyphonus rufus","Tangara cayana","Thraupis palmarum","Thraupis sayaca","Tityra inquisitor","Tityra semifasciata","Trogon curucui","Turdus albicollis","Turdus amaurochalinus","Turdus leucomelas","Turdus subalaris","Vireo olivaceus"
"Cabralea canjerana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Calyptranthes lucida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cecropia pachystachya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Copaifera langsdorffii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cupania vernalis",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Dilodendron bipinnatum",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1
"Diospyros brasiliensis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus Purificacao2014.unidsp.623",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guarea guidonia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Lasiacis ligulata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
