"","Cyanocorax cyanopogon","Dacnis cayana","Diopsittaca nobilis","Empidonomus varius","Eucometis penicillata","Hemithraupis guira","Megarynchus pitangua","Myiodynastes maculatus","Patagioenas speciosa","Ramphastos vitellinus","Saltator maximus","Tangara cayana","Tangara cyanicollis","Tityra semifasciata","Trogon curucui","Turdus leucomelas"
"Acrocomia aculeata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Byrsonima Purificacao2014.unidsp.750",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Byrsonima sericea",0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1
"Campomanesia eugenioides",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Cecropia pachystachya",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Cordia sellowiana",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mangifera indica",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miconia staminea",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Ocotea corymbosa",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Unidentified Purificacao2014.unidsp.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Xylopia aromatica",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
