"","Aratinga leucophthalma","Cyanerpes cyaneus","Dacnis cayana","Dryocopus lineatus","Elaenia chiriquensis","Euphonia chlorotica","Hemithraupis guira","Megarynchus pitangua","Piranga flava","Tangara cayana","Thraupis sayaca","Turdus leucomelas","Volatinia jacarina"
"Brachiaria Purificacao2014.unidsp.258",0,0,0,0,0,0,0,0,0,0,0,0,1
"Byrsonima sericea",0,0,0,0,1,0,0,0,0,0,0,0,0
"Cecropia pachystachya",0,0,0,0,0,0,0,0,0,0,0,1,0
"Cordia sellowiana",1,0,0,0,0,0,0,0,0,0,0,0,0
"Curatella americana",0,1,1,0,0,0,1,1,1,0,0,0,1
"Mezilaurus crassiramea",0,0,1,0,0,0,1,0,0,0,0,0,0
"Miconia albicans",0,0,0,0,0,0,0,0,0,0,1,0,1
"Myrcia multiflora",0,0,0,1,0,0,0,0,0,0,0,0,0
"Myrcia tomentosa",0,0,0,0,0,0,0,0,0,0,0,1,0
"Norantea guianensis",0,1,1,0,0,1,0,0,0,1,1,0,0
"Psittacanthus robustus",0,0,1,0,0,0,0,0,0,0,0,0,0
"Xylopia aromatica",0,0,1,0,0,0,0,0,0,0,0,0,0
