"","Cacicus uropygialis","Catharus ustulatus","Chlorochrysa calliparaea","Chlorophanes spiza","Chlorospingus canigularis","Chlorospingus flavigularis","Coereba flaveola","Dacnis cayana","Dacnis lineata","Eubucco bourcierii","Euphonia laniirostris","Euphonia xanthogaster","Iridophanes pulcherrimus","Lepidothrix isidorei","Leptopogon superciliaris","Machaeropterus regulus","Myadestes ralloides","Pipra erythrocephala","Psarocolius angustifrons","Pyrrhura albipectus","Rupicola peruvianus","Saltator maximus","Setophaga pitiayumi","Tachyphonus cristatus","Tangara arthus","Tangara chilensis","Tangara chrysotis","Tangara cyanicollis","Tangara gyrola","Tangara nigrocincta","Tangara nigroviridis","Tangara punctata","Tangara schrankii","Tangara xanthogastra","Thraupis episcopus","Thraupis palmarum","Turdus albicollis"
"Cecropia Quitian2018.unidsp.100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Cecropia Quitian2018.unidsp.101",0,1,0,14,4,7,1,0,10,0,9,7,5,0,0,0,0,21,38,0,1,0,0,0,19,43,14,58,70,6,2,22,32,7,20,11,1
"Cecropia Quitian2018.unidsp.102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0
"Dacryodes Quitian2018.unidsp.100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inga Quitian2018.unidsp.100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"Inga Quitian2018.unidsp.101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miconia Quitian2018.unidsp.103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miconia Quitian2018.unidsp.105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miconia Quitian2018.unidsp.108",0,0,1,0,0,11,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,1,4,10,0,0,5,8,0,0,0,0
"Miconia Quitian2018.unidsp.109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,0,0,1,2,0,0,0,0
"Miconia Quitian2018.unidsp.111",0,0,0,0,5,0,0,1,2,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,3,23,1,9,5,1,0,9,1,3,0,0,0
"Miconia Quitian2018.unidsp.112",0,0,3,7,0,2,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,5,0,10,2,0,0,13,2,11,0,0,0
"Miconia Quitian2018.unidsp.114",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miconia Quitian2018.unidsp.116",1,3,0,5,8,34,0,3,5,0,2,6,0,0,0,1,2,10,35,104,3,0,0,1,24,77,17,107,40,4,7,40,41,12,7,5,6
"Mikania Quitian2018.unidsp.100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mollia Quitian2018.unidsp.100",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myrsine coriacea",2,1,0,17,6,28,2,4,49,1,5,4,0,0,5,1,0,14,4,0,1,5,7,4,11,131,18,90,24,8,2,45,33,14,13,17,4
"Piper Quitian2018.unidsp.103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
"Tibouchina ochypetala",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,1,0,0,0,0
"Unidentified Quitian2018.unidsp.106",0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,20,51,0,0,6,10,0,0,0,0
