"","Cacicus uropygialis","Catharus ustulatus","Chlorochrysa calliparaea","Chlorophanes spiza","Chlorospingus canigularis","Chlorospingus flavigularis","Coereba flaveola","Dacnis cayana","Dacnis lineata","Eubucco bourcierii","Euphonia laniirostris","Euphonia xanthogaster","Iridophanes pulcherrimus","Lepidothrix isidorei","Leptopogon superciliaris","Machaeropterus regulus","Myadestes ralloides","Pipra erythrocephala","Psarocolius angustifrons","Pyrrhura albipectus","Rupicola peruvianus","Saltator maximus","Setophaga pitiayumi","Tachyphonus cristatus","Tangara arthus","Tangara chilensis","Tangara chrysotis","Tangara cyanicollis","Tangara gyrola","Tangara nigrocincta","Tangara nigroviridis","Tangara punctata","Tangara schrankii","Tangara xanthogastra","Thraupis episcopus","Thraupis palmarum","Turdus albicollis"
"Alchornea Quitian2018.unidsp.100",0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,4,3,0,0,0,0
"Cecropia Quitian2018.unidsp.101",1,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,1,3,2,5,0,0,0,0,0,0,0,0
"Dacryodes Quitian2018.unidsp.100",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0
"Guatteria Quitian2018.unidsp.100",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guettarda Quitian2018.unidsp.101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miconia Quitian2018.unidsp.100",0,2,1,0,0,45,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"Miconia Quitian2018.unidsp.101",1,0,0,0,0,12,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,2,0,6,0,7,3,0,0,6,0,0,0,0,0
"Miconia Quitian2018.unidsp.106",0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,6,6,0,0,7,2,3,0,0,0
"Miconia Quitian2018.unidsp.107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
"Miconia Quitian2018.unidsp.108",2,70,8,1,1,81,0,0,13,0,0,39,3,10,0,12,2,5,30,0,5,9,0,0,30,75,6,72,60,0,9,47,62,0,0,5,22
"Miconia Quitian2018.unidsp.111",0,0,3,1,0,42,0,2,0,0,0,2,0,5,0,2,0,0,0,0,0,0,0,0,0,18,0,3,5,2,0,9,10,0,0,0,1
"Miconia Quitian2018.unidsp.112",0,0,8,0,13,71,2,0,15,0,0,0,0,6,2,2,0,7,0,0,0,0,0,0,3,64,2,41,4,0,0,39,28,4,0,5,1
"Miconia Quitian2018.unidsp.115",0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,2,0,0,0,0
"Miconia Quitian2018.unidsp.116",0,8,1,0,0,8,0,0,0,0,0,2,0,10,0,1,0,5,0,0,0,0,0,0,3,8,2,12,4,0,0,2,2,0,0,0,0
"Miconia Quitian2018.unidsp.118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mollia Quitian2018.unidsp.100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myrsine coriacea",0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
"Piper Quitian2018.unidsp.102",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rubiaceae Quitian2018.unidsp.100",0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,0,0,0,0,1,0,0,0,0
"Schefflera Quitian2018.unidsp.100",0,0,12,2,5,32,1,0,1,0,9,17,0,0,0,0,0,1,0,0,0,0,2,0,9,20,8,12,13,2,0,11,19,1,5,0,0
"Unidentified Quitian2018.unidsp.100",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified Quitian2018.unidsp.101",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified Quitian2018.unidsp.102",0,0,3,0,0,0,0,2,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,1,29,0,0,0,25,20,3,0,0,0
"Unidentified Quitian2018.unidsp.103",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,3,1,0,0,0
"Unidentified Quitian2018.unidsp.105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Urera Quitian2018.unidsp.100",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0
