"","Anisognathus somptuosus","Catharus ustulatus","Cyanocorax yncas","Diglossa albilatera","Elaenia albiceps","Iridosornis analis","Myadestes ralloides","Patagioenas fasciata","Penelope barbata","Tangara nigroviridis","Tangara parzudakii","Tangara vassorii","Tangara xanthocephala","Thraupis cyanocephala","Turdus fuscater"
"Cecropia angustifolia",12,0,0,0,0,0,0,0,0,10,21,0,21,12,2
"Escallonia paniculata",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fuchsia lehmannii",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Graffenrieda emarginata",0,1,0,0,0,0,1,1,0,0,0,2,0,0,0
"Isertia laevis",0,0,0,0,0,0,0,13,8,3,0,2,2,0,0
"Miconia punctata",4,1,0,0,0,3,2,0,0,34,0,51,2,0,0
"Miconia Quitian2018.unidsp.201",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miconia theizans",31,0,34,2,6,7,6,0,0,48,17,30,32,26,0
"Palicourea Quitian2018.unidsp.201",2,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"Siparuna aspera",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Unidentified Quitian2018.unidsp.201",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Viburnum obtectum",11,0,0,0,1,0,0,0,0,4,2,0,3,6,1
