"","Dicaeum erythrorhynchos","Eudynamys scolopaceus","Leptocoma zeylonica","Megalaima haemacephala","Pycnonotus cafer","Pycnonotus jocosus","Pycnonotus luteolus","Pycnonotus xantholaemus","Turdoides affinis"
"Breynia vitis-idaea",0,0,0,0,1,1,1,0,0
"Bursera penicillata",1,0,1,0,1,1,1,1,1
"Canthium coromandelicum",0,0,0,0,1,1,1,0,1
"Cipadessa baccifera",0,0,0,0,1,0,1,0,0
"Erythroxylum monogynum",1,0,0,1,1,0,1,0,0
"Flacourtia indica",0,0,0,0,1,0,1,0,0
"Flueggea leucopyrus",1,0,0,1,1,1,1,0,1
"Lantana camara",1,0,0,0,0,0,1,0,1
"Santalum album",0,1,0,0,1,1,1,0,0
"Ziziphus oenopolia",1,1,0,1,1,1,1,0,0
