"","Anairetes parulus","Colaptes pitius","Colorhamphus parvirostris","Curaeus curaeus","Elaenia albiceps","Lycalopex culpaeus","Lycalopex gymnocercus","Mimus thenca","Oryctolagus cuniculus","Patagioenas araucana","Phytotoma rara","Turdus falcklandii","Xolmis pyrope","Zonotrichia capensis"
"Aristotelia chilensis",0,0,0,1,1,1,1,1,0,1,0,1,0,0
"Azara dentata",0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Cestrum parqui",0,0,0,0,1,0,0,1,0,0,0,1,0,1
"Echinopsis chiloensis",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Lithrea caustica",0,0,0,0,1,1,1,1,1,0,1,1,0,0
"Maytenus boaria",1,0,1,0,0,0,0,0,0,0,0,0,1,0
"Muehlenbeckia hastulata",0,0,0,0,0,1,1,0,0,0,0,1,0,0
"Porlieria chilensis",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Schinus molle",0,0,0,0,1,1,0,0,0,0,0,1,0,0
"Schinus polygamus",0,1,0,0,1,0,0,1,0,0,0,1,0,1
"Tristerix aphyllus",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Tristerix corymbosus",0,0,0,1,0,0,0,1,0,0,0,1,0,0
