"","Artibeus lituratus","Artibeus planirostris","Carollia perspicillata","Uroderma bilobatum"
"Cecropia Rios-Blanco2015.unidsp.827",0,0,5,0
"Ficus coerulescens",0,3,0,0
"Ficus obtusifolia",6,12,3,11
"Ficus Rios-Blanco2015.unidsp.1",12,28,0,11
"Ficus Rios-Blanco2015.unidsp.2",0,52,3,7
"Ficus Rios-Blanco2015.unidsp.3",0,6,0,0
"Ficus Rios-Blanco2015.unidsp.4",0,3,0,2
"Piper aduncum",0,0,3,0
"Unidentified Rios-Blanco2015.unidsp.1",0,12,0,11
"Unidentified Rios-Blanco2015.unidsp.2",0,3,0,0
"Unidentified Rios-Blanco2015.unidsp.3",0,0,0,2
"Unidentified Rios-Blanco2015.unidsp.4",0,6,0,7
"Unidentified Rios-Blanco2015.unidsp.5",0,0,0,7
"Vismia Rios-Blanco2015.unidsp.1",0,0,3,0
"Vismia Rios-Blanco2015.unidsp.3",0,0,3,0
