"","Arremon torquatus","Catharus ustulatus","Chlorospingus flavopectus","Elaenia obscura","Elaenia parvirostris","Elaenia strepera","Euphonia chlorotica","Euphonia cyanocephala","Myiodynastes maculatus","Pipraeidea melanonota","Poospiza erythrophrys","Saltator aurantiirostris","Setophaga pitiayumi","Thlypopsis sordida","Thraupis sayaca","Turdus albicollis","Turdus nigriceps","Turdus rufiventris","Veniliornis frontalis","Vireo olivaceus"
"Blepharocalyx salicifolius",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Cinnamomum porphyrium",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Cissus striata",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clibadium peruvianum",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Cupania vernalis",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Miconia molybdea",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
"Ocotea puberula",0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1
"Phoradendron falcifrons",0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0
"Piper aduncum",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Prockia crucis",0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Psychotria carthagenensis",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Rhipsalis floccosa",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhipsalis monacantha",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rubus imperialis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solanum riparium",0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1
"Urera baccifera",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vassobia breviflora",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Zanthoxylum fagara",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
