"","Arremon flavirostris","Catharus dryas","Catharus ustulatus","Chlorospingus flavopectus","Cyanocompsa brissonii","Cyanocorax chrysops","Elaenia albiceps","Elaenia obscura","Elaenia strepera","Euphonia cyanocephala","Leptotila megalura","Myiodynastes maculatus","Penelope obscura","Pipraeidea melanonota","Ramphastos toco","Thlypopsis sordida","Thraupis bonariensis","Thraupis sayaca","Trogon curucui","Turdus nigriceps","Turdus rufiventris","Vireo olivaceus"
"Aechmea distichantha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Allophylus edulis",0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0
"Blepharocalyx salicifolius",1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1
"Celtis iguanaea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cestrum lorentzianum",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cinnamomum porphyrium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Cissus striata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Eugenia uniflora",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
"Phoradendron falcifrons",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Piper tucumanum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Prunus tucumanensis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Psychotria carthagenensis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Rhipsalis floccosa",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"Rhipsalis lorentziana",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Rubus imperialis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Sambucus nigra",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
"Scutia buxifolia",0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1
"Solanum riparium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Tournefortia lilloi",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Urera baccifera",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Vassobia breviflora",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0
