"","Atlapetes fulviceps","Catharus ustulatus","Chlorospingus flavopectus","Colaptes rubiginosus","Cyanocorax chrysops","Elaenia albiceps","Myiarchus tyrannulus","Myiodynastes maculatus","Pachyramphus validus","Pheucticus aureoventris","Pipraeidea melanonota","Setophaga pitiayumi","Thraupis sayaca","Turdus nigriceps","Turdus rufiventris","Vireo olivaceus","Zonotrichia capensis"
"Allophylus edulis",0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1
"Blepharocalyx salicifolius",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Eugenia moraviana",0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0
"Ilex argentina",0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
"Morella chevalieri",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Podocarpus parlatorei",0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0
"Rhipsalis floccosa",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Sambucus nigra",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Sapium haematospermum",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Scutia buxifolia",1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1
"Vassobia breviflora",1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1
"Viburnum seemenii",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zanthoxylum coco",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
