"","Arremon flavirostris","Atlapetes citrinellus","Chlorospingus flavopectus","Cyanocorax chrysops","Elaenia albiceps","Elaenia obscura","Euphonia chlorotica","Euphonia cyanocephala","Icterus cayanensis","Molothrus bonariensis","Piranga flava","Setophaga pitiayumi","Thraupis sayaca","Turdus nigriceps","Turdus rufiventris","Zonotrichia capensis"
"Blepharocalyx salicifolius",0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1
"Chamissoa altissima",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cupania vernalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Eugenia uniflora",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Lepismium lumbricoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Morus nigra",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"Phoradendron falcifrons",1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0
"Piper hieronymi",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Piper tucumanum",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Psychotria carthagenensis",1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
"Rhipsalis floccosa",0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
"Rubus imperialis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Solanum americanum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Solanum riparium",1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0
"Vassobia breviflora",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
