"","Arremon torquatus","Atlapetes citrinellus","Catharus ustulatus","Chlorospingus flavopectus","Elaenia obscura","Elaenia strepera","Euphonia cyanocephala","Penelope obscura","Pipraeidea melanonota","Poospiza erythrophrys","Thlypopsis sordida","Thraupis sayaca","Turdus nigriceps","Turdus rufiventris","Vireo olivaceus"
"Allophylus edulis",1,0,1,1,0,1,0,1,1,1,1,1,1,1,1
"Blepharocalyx salicifolius",0,0,1,1,1,0,0,1,1,1,1,1,1,1,1
"Cissus striata",0,0,1,0,0,1,0,0,1,0,1,1,1,0,0
"Duchesnea indica",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Eugenia uniflora",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
"Myrsine coriacea",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"Prunus tucumanensis",0,0,1,0,0,1,1,0,1,0,0,0,1,0,0
"Rubus imperialis",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Sambucus nigra",0,1,1,1,0,1,1,0,1,0,1,1,1,0,0
"Scutia buxifolia",0,1,0,1,0,0,0,0,0,0,1,1,1,1,0
"Solanum Ruggera2016.unidsp.3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Vassobia breviflora",1,0,1,1,0,1,0,0,1,1,1,1,1,0,1
