"","Catharus ustulatus","Chlorospingus flavopectus","Cyclarhis gujanensis","Elaenia obscura","Elaenia strepera","Euphonia cyanocephala","Myiodynastes maculatus","Pipraeidea melanonota","Saltator aurantiirostris","Saltator coerulescens","Thlypopsis sordida","Thraupis sayaca","Turdus nigriceps","Turdus rufiventris","Turdus serranus"
"Allophylus edulis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blepharocalyx salicifolius",1,0,0,1,1,0,0,1,0,0,0,1,1,1,0
"Cinnamomum porphyrium",0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
"Cissus striata",1,1,0,1,0,0,0,0,0,0,0,1,0,1,0
"Cupania vernalis",1,1,1,0,0,0,1,1,0,0,0,0,1,1,0
"Fuchsia boliviana",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"Lithraea molleoides",1,1,0,1,1,0,1,0,0,0,1,1,0,0,0
"Miconia molybdea",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morus insignis",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Myrcianthes pseudomato",0,1,0,1,1,0,0,1,0,0,0,1,0,0,0
"Myrsine coriacea",0,1,0,1,1,0,0,1,0,0,0,1,0,0,0
"Ocotea puberula",1,1,0,1,1,0,0,0,0,0,1,1,1,1,0
"Phoradendron falcifrons",1,1,0,0,0,1,0,1,1,0,1,1,0,0,0
"Piper aduncum",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Rhipsalis floccosa",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rubus imperialis",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schinus gracilipes",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Solanum americanum",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solanum riparium",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"Vassobia breviflora",0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
