"","Anisognathus igniventris","Anisognathus somptuosus","Atlapetes rufinucha","Aulacorhynchus coeruleicinctis","Catharus ustulatus","Chiroxiphia boliviana","Chlorophonia cyanea","Chlorospingus flavopectus","Cyanocorax cyanomelas","Cyanocorax yncas","Diglossa cyanea","Elaenia obscura","Elaenia pallatangae","Entomodestes leucotis","Eubucco versicolor","Euphonia xanthogaster","Lipaugus uropygialis","Mionectes striaticollis","Patagioenas fasciata","Patagioenas plumbea","Penelope montagnii","Pheucticus aureoventris","Phyllomyias uropygialis","Pipreola frontalis","Pipreola intermedia","Psarocolius decumanus","Setophaga pitiayumi","Tangara vassorii","Tangara xanthocephala","Thraupis cyanocephala","Thraupis palmarum","Thraupis sayaca","Trogon personatus","Turdus albicollis","Turdus serranus","Veniliornis nigriceps"
"Alchornea triplinervia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Beilschmiedia tovarensis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cecropia SAAV1NA.unidsp.487",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,4,0,1,0,0
"Clusia lechleri",1,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
"Clusia sphaerocarpa",0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1
"Clusia trochiformis",0,8,0,0,20,3,0,3,0,0,0,0,1,0,18,2,0,30,0,0,0,0,0,0,0,0,0,2,16,1,0,0,0,0,0,0
"Dendrophthora macbridei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"Dictyocaryum lamarckianum",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eugenia SAAV1NA.unidsp.885",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
"Ficus americana",0,1,0,5,7,5,8,5,0,0,0,0,0,0,1,7,0,0,0,2,2,0,0,1,6,1,0,2,14,0,0,1,0,2,0,0
