"","Artibeus cinereus","Artibeus fimbriatus","Artibeus lituratus","Artibeus obscurus","Artibeus planirostris","Carollia perspicillata","Chiroxiphia pareola","Dysithamnus mentalis","Euphonia violacea","Glossophaga soricina","Manacus manacus","Phyllostomus elongatus","Pipra rubrocapilla","Platyrrhinus lineatus","Rhinophylla pumilio","Saltator maximus","Tangara cayana","Trachops cirrhosus","Trinycteris nicefori","Turdus albicollis"
"Cecropia pachystachya",0,1,2,0,2,31,3,0,0,1,0,0,0,1,0,3,0,1,0,0
"Clidemia debilis",0,0,0,0,0,0,7,0,0,0,2,0,4,0,0,1,0,0,0,0
"Clidemia hirta",0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
"Fagaceae SARMwhole.unidsp.1",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fagaceae SARMwhole.unidsp.2",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fagaceae SARMwhole.unidsp.225",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus gomelleira",3,5,2,2,5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Melastomataceae SARMwhole.unidsp.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Melastomataceae SARMwhole.unidsp.mult",0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Miconia prasina",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miconia SARMwhole.unidsp.1",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Miconia SARMwhole.unidsp.2",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Passifloraceae SARMwhole.unidsp.mult",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Piper aduncum",1,0,1,0,0,107,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"Piper arboreum",0,1,1,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Piper caldense",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Piper marginatum",2,0,0,1,0,26,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Piper SARMwhole.unidsp.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Piper SARMwhole.unidsp.2",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Piper SARMwhole.unidsp.3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Piper SARMwhole.unidsp.4",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Piper SARMwhole.unidsp.5",0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Poaceae SARMwhole.unidsp.755",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Schefflera morototonii",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Solanaceae SARMwhole.unidsp.mult",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solanum americanum",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solanum rugosum",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solanum SARMwhole.unidsp.641",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified SARMwhole.unidsp.10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Unidentified SARMwhole.unidsp.11",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified SARMwhole.unidsp.15",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified SARMwhole.unidsp.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Unidentified SARMwhole.unidsp.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
