"","Artibeus fimbriatus","Artibeus lituratus","Carollia perspicillata","Sturnira lilium","Vampyressa pusilla"
"Cecropia pachystachya",24,85,0,22,0
"Chrysophyllum gonocarpum",0,0,0,34,0
"Ficus citrifolia",1,3,0,1,1
"Ficus luschnathiana",11,18,0,44,3
"Ficus Sanchez2012.unidsp.401",2,8,0,7,0
"Maclura tinctoria",1,6,0,60,0
"Passiflora amethystina",0,0,0,1,0
"Piper aduncum",0,0,7,124,0
"Piper amalago",2,3,2,59,0
"Piper gaudichaudianum",0,0,1,22,0
"Piper hispidum",0,0,7,39,0
"Piper Sanchez2012.unidsp.970",0,0,1,4,0
"Psidium guajava",1,0,0,2,0
"Solanum granuloso-leprosum",1,2,1,157,0
"Solanum Sanchez2012.unidsp.1",0,0,0,1,0
"Solanum Sanchez2012.unidsp.738",0,0,0,1,0
"Unknown Sanchez2012.unidsp.1",0,0,0,1,0
