"","Artibeus planirostris","Sturnira erythromos","Sturnira lilium","Sturnira oporaphilum"
"Celtis iguanaea",31,24,21,0
"Passiflora umbilicata",0,0,1,0
"Piper tucumanum",6,19,55,4
"Randia micracantha",0,2,0,0
"Solanum abutiloides",2,4,27,1
"Solanum aligerum",0,1,0,0
"Solanum confusum",0,2,0,0
"Solanum pseudocapsicum",0,6,3,0
"Solanum riparium",6,11,41,0
"Solanum Sanchez2012.unidsp.2",0,0,1,0
"Solanum Sanchez2012.unidsp.3",0,1,1,0
"Solanum Sanchez2012.unidsp.4",0,1,1,0
"Solanum symmetricum",1,11,9,1
"Solanum tenuispinum",0,2,1,0
"Solanum trichoneuron",0,3,7,0
"Unknown Sanchez2012.unidsp.940",0,1,0,0
"Urera caracasana",7,1,2,0
