"","Aegithina lafresnayei","Alophoixus pallidus","Anorrhinus austeni","Anthracoceros albirostris","Buceros bicornis","Chloropsis cochinchinensis","Coracina melaschistos","Dicaeum agile","Dicaeum chrysorrheum","Dicaeum ignipectus","Ducula badia","Erpornis zantholeuca","Eumyias thalassinus","Garrulax chinensis","Garrulax leucolophus","Garrulax monileger","Geokichla sibirica","Gracula religiosa","Harpactes oreskios","Hemixos flavala","Hypothymis azurea","Iole propinqua","Irena puella","Loriculus vernalis","Macronus gularis","Macropygia unchall","Malacocincla abbotti","Megalaima australis","Megalaima faiostricta","Megalaima incognita","Oriolus chinensis","Pericrocotus cantonensis","Pomatorhinus schisticeps","Pycnonotus atriceps","Pycnonotus finlaysoni","Pycnonotus flaviventris","Serilophus lunatus","Treron curvirostra","Turdus feae","Zosterops erythropleurus","Zosterops everetti"
"Adinandra integerrima",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Aidia densiflora",0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1
"Bridelia insulana",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"Cinnamomum subavenium",0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"Dendrocnide stimulans",0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
"Eurya nitida",1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0
"Ficus nervosa",0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0
"Gironniera nervosa",0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1
"Ilex chevalieri",1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1
"Litsea monopetala",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1
"Mastixia pentandra",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Saurauia roxburghii",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Schefflera heptaphylla",0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0
"Sloanea sigun",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
"Symplocos cochinchinensis",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
"Toxicodendron rhetsoides",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
"Viburnum cylindricum",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
