"","Artibeus jamaicensis","Artibeus lituratus","Carollia perspicillata","Carollia sowelli","Glossophaga Santiago2014.unidsp.471","Glossophaga soricina","Phyllostomus discolor","Sturnira hondurensis","Sturnira parvidens"
"Aechmea bracteata",0,0,0,1,0,0,0,0,0
"Cecropia obtusifolia",0,8,0,2,0,1,0,0,2
"Cecropia peltata",4,3,2,10,0,0,0,3,0
"Cecropia Santiago2014.unidsp.1",0,2,0,1,0,1,0,0,3
"Ficus americana",0,1,0,1,0,0,0,0,3
"Ficus colubrinae",0,0,0,0,0,2,0,0,1
"Ficus cotinifolia",1,2,0,1,0,0,0,0,1
"Godmania Santiago2014.unidsp.174",0,0,0,1,0,2,0,0,0
"Physalis Santiago2014.unidsp.26",0,0,0,0,1,2,0,0,0
"Piper auritum",0,2,3,18,0,6,0,3,1
"Psychotria Santiago2014.unidsp.668",0,2,0,0,0,0,1,0,1
"Solanum diphyllum",1,1,1,5,0,0,0,1,0
"Solanum rudepannum",0,0,0,0,0,0,0,0,1
"Spermacoce laevis",1,0,0,0,0,0,0,0,0
"Undetermined Santiago2014.unidsp.mult",0,0,0,2,0,0,0,0,0
