"","Aves Scherer2007.unidsp.6","Coryphospingus cucullatus","Cyclarhis gujanensis","Elaenia flavogaster","Elaenia Scherer2007.unidsp.282","Euphonia chlorotica","Icterus cayanensis","Mimus saturninus","Pitangus sulphuratus","Saltator similis","Thraupis bonariensis","Thraupis sayaca","Turdus albicollis","Turdus amaurochalinus","Turdus rufiventris","Tyrannus melancholicus","Tyrannus savana","Zonotrichia capensis"
"Erythroxylum argentinum",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Eugenia hiemalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Eugenia uruguayensis",1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
"Ficus cestrifolia",0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1
"Guapira opposita",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Myrcia palustris",0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
"Myrciaria cuspidata",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"Myrsine Scherer2007.unidsp.mult",0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0
"Ocotea pulchella",0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1
"Opuntia monacantha",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Vitex megapotamica",0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0
