"","Bombycilla cedrorum","Catharus fuscescens","Catharus guttatus","Catharus minimus","Catharus ustulatus","Colaptes auratus","Dryocopus pileatus","Dumetella carolinensis","Empidonax virescens","Hylocichla mustelina","Melanerpes carolinus","Regulus calendula","Sayornis phoebe","Setophaga coronata","Sialia sialis","Sphyrapicus varius","Toxostoma rufum","Turdus migratorius","Vireo flavifrons","Vireo griseus","Vireo olivaceus","Vireo solitarius"
"Ampelopsis arborea",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Aralia spinosa",0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"Callicarpa americana",0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"Celtis laevigata",1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
"Cornus florida",0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1
"Cornus foemina",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Ilex cassine",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
"Ilex decidua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Ilex opaca",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
"Magnolia grandiflora",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Mitchella repens",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Morella cerifera",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"Nyssa sylvatica",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
"Osmanthus americanus",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Parthenocissus quinquefolia",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Persea borbonia",1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
"Phoradendron leucarpum",1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
"Phytolacca americana",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prunus caroliniana",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"Rhus copallinum",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0
"Smilax auriculata",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Smilax bona-nox",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Smilax pumila",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Smilax tamnoides",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Symplocos tinctoria",0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1
"Toxicodendron radicans",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Vaccinium arboreum",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Vaccinium myrsinites",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Viburnum obovatum",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Viburnum rufidulum",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
