"","Arremonops conirostris","Attila spadiceus","Cacicus microrhynchus","Caryothraustes poliogaster","Catharus aurantiirostris","Catharus ustulatus","Celeus castaneus","Chlorophanes spiza","Coereba flaveola","Corapipo altera","Cyanerpes cyaneus","Cyanerpes lucidus","Dacnis cayana","Dryocopus lineatus","Elaenia chiriquensis","Elaenia flavogaster","Empidonax flaviventris","Eucometis penicillata","Euphonia imitans","Geothlypis philadelphia","Habia rubica","Hylophilus decurtatus","Hylophilus flavipes","Icterus galbula","Legatus leucophaius","Leiothlypis peregrina","Lepidothrix coronata","Lipaugus unirufus","Manacus aurantiacus","Manacus candei","Megarynchus pitangua","Melanerpes chrysauchen","Melanerpes pucherani","Melanerpes rubricapillus","Mionectes oleagineus","Mitrospingus cassinii","Momotus momota","Myiarchus tuberculifer","Myiarchus tyrannulus","Myiodynastes luteiventris","Myiodynastes maculatus","Myiopagis viridicata","Myiozetetes granadensis","Myiozetetes similis","Ortalis cinereiceps","Pachyramphus polychopterus","Patagioenas nigrirostris","Pheucticus ludovicianus","Pionus senilis","Pipra mentalis","Piranga olivacea","Piranga rubra","Psarocolius montezuma","Psarocolius wagleri","Psilorhinus morio","Pteroglossus frantzii","Ramphastos sulfuratus","Ramphastos swainsonii","Ramphocelus passerinii","Rhytipterna holerythra","Saltator maximus","Saltator striatipectus","Setophaga castanea","Setophaga pensylvanica","Sporophila corvina","Tachyphonus luctuosus","Tangara guttata","Tangara gyrola","Tangara icterocephala","Tangara larvata","Thraupis episcopus","Thraupis palmarum","Tiaris olivaceus","Tityra inquisitor","Tityra semifasciata","Trogon bairdii","Trogon melanocephalus","Trogon rufus","Trogon violaceus","Turdus assimilis","Turdus grayi","Tyrannus melancholicus","Tyrannus tyrannus","Vireo flavifrons","Vireo flavoviridis","Vireo olivaceus","Vireo philadelphicus"
"Alchornea costaricensis",0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"Alchornea latifolia",0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1
"Casearia sylvestris",0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"Cecropia Skutch1980.unidsp.mult",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0
"Clusia Skutch1980.unidsp.mult",0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
"Davilla kunthii",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
"Dilodendron elegans",0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1
"Lacistema aggregatum",1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
"Miconia trinervia",1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1
"Protium Skutch1980.unidsp.mult",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Souroubea guianensis",0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
