"","Aegithalos caudatus","Columba palumbus","Corvus corone corone","Cyanistes caeruleus","Erithacus rubecula","Parus major","Pica pica","Poecile palustris","Sturnus vulgaris","Sylvia atricapilla","Turdus iliacus","Turdus merula","Turdus philomelos","Turdus pilaris","Turdus viscivorus"
"Bryonia cretica subsp. dioica",0,0,0,0,0,0,0,0,0,0,0,0,68,0,0
"Cornus sanguinea",0,0,0,0,45,0,0,0,130,0,95,50,80,0,0
"Crataegus monogyna",0,6,0,11,4,0,0,0,3,0,93,223,14,255,56
"Dioscorea communis",0,0,0,0,0,0,0,0,0,2,0,35,8,2,0
"Euonymus europaeus",5,0,0,0,73,9,0,12,0,21,0,41,10,0,0
"Hedera helix",0,56,0,0,13,0,0,0,40,7,9,211,79,1,30
"Ilex aquifolium",0,11,0,0,6,0,0,0,0,31,399,201,23,60,182
"Juniperus communis",0,0,0,0,7,0,0,0,0,0,0,14,0,0,54
"Ligustrum vulgare",0,2,0,5,15,0,0,1,0,6,6,76,9,2,4
"Malus sylvestris",0,0,18,0,19,4,0,3,6,0,1,182,19,10,19
"Prunus spinosa",0,0,4,0,19,0,0,0,1,0,41,160,165,23,24
"Rhamnus cathartica",0,0,0,0,2,0,0,0,0,6,94,135,19,8,25
"Rosa canina",0,4,0,2,0,0,0,0,0,1,1,147,2,109,3
"Solanum dulcamara",0,0,0,2,9,0,0,0,0,6,0,6,2,0,0
"Sorbus aria",0,0,57,0,0,0,16,0,0,0,180,361,0,0,41
"Taxus baccata",0,0,0,0,16,16,0,0,8,0,5,38,262,0,107
"Viburnum opulus",0,0,0,0,3,0,0,0,0,1,1,15,104,0,4
"Viscum album",0,0,0,0,5,0,0,0,0,0,0,9,5,0,807
