"","Columba palumbus","Corvus corone corone","Cyanistes caeruleus","Erithacus rubecula","Gallinula chloropus","Garrulus glandarius","Muscicapa striata","Pica pica","Poecile palustris","Streptopelia decaocto","Sturnus vulgaris","Sylvia atricapilla","Sylvia borin","Sylvia communis","Sylvia curruca","Turdus merula","Turdus philomelos","Turdus viscivorus"
"Arum maculatum",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,40,0,0
"Bryonia cretica subsp. dioica",0,0,0,1,0,0,0,0,0,0,0,32,4,1,0,17,5,0
"Cornus sanguinea",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0
"Crataegus monogyna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0
"Daphne laureola",0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hedera helix",0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0
"Ilex aquifolium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,6,4
"Lonicera caprifolium",0,0,2,4,0,0,0,0,0,0,10,28,0,0,7,57,8,0
"Lonicera periclymenum",0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,15,2,0
"Prunus avium",6,5,0,0,0,5,0,3,0,0,45,2,1,0,0,266,32,27
"Prunus padus",0,0,0,22,0,0,0,4,0,0,0,18,10,0,0,179,42,56
"Ribes rubrum",0,0,0,4,0,0,0,0,0,0,0,24,3,0,0,13,3,0
"Rubus idaeus",0,0,0,5,0,0,0,2,0,0,0,11,0,0,0,9,0,0
"Rubus vestitus",0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"Sambucus nigra",5,0,6,21,1,0,2,5,2,2,63,37,3,0,5,33,29,1
"Solanum dulcamara",0,0,0,1,0,0,2,0,0,0,2,18,0,0,0,14,14,0
"Sorbus aucuparia",0,0,0,5,0,1,0,1,0,0,22,6,1,0,2,313,15,19
"Taxus baccata",0,0,0,2,0,0,0,0,0,0,35,4,0,0,0,105,66,30
"Viburnum lantana",0,0,0,26,0,0,0,0,0,0,0,29,4,0,9,45,7,0
"Viscum album",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
