"","Columba palumbus","Corvus corone corone","Cyanistes caeruleus","Erithacus rubecula","Gallinula chloropus","Garrulus glandarius","Muscicapa striata","Parus major","Pica pica","Picus viridis","Poecile montanus","Poecile palustris","Sturnus vulgaris","Sylvia atricapilla","Sylvia borin","Sylvia communis","Sylvia curruca","Turdus iliacus","Turdus merula","Turdus philomelos","Turdus pilaris","Turdus torquatus","Turdus viscivorus"
"Arum maculatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
"Bryonia cretica subsp. dioica",0,0,0,0,0,0,0,0,0,0,9,45,0,45,0,0,9,0,9,0,0,0,0
"Cornus sanguinea",0,2,0,38,0,0,0,0,11,4,0,0,1723,8,0,0,0,72,54,37,0,0,1
"Crataegus monogyna",33,0,10,5,0,0,0,0,0,0,0,0,73,0,0,0,0,142,441,34,208,0,18
"Dioscorea communis",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"Euonymus europaeus",0,0,0,67,0,0,0,82,0,0,0,6,0,18,0,0,0,0,99,12,0,0,0
"Ilex aquifolium",8,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,25,271,21,0,0,48
"Ligustrum vulgare",7,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,47,4,4,0,0
"Lonicera periclymenum",0,0,45,11,0,0,0,0,0,0,0,50,0,0,0,0,0,0,6,0,0,0,0
"Prunus spinosa",0,16,0,1,0,0,0,0,1,0,0,0,21,0,0,0,0,20,119,165,10,0,34
"Rhamnus cathartica",0,0,0,1,0,0,0,0,0,0,0,0,95,3,0,0,0,34,90,18,3,0,15
"Rosa canina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0
"Rubus vestitus",0,0,42,37,8,0,0,0,0,0,0,0,543,8,3,3,5,0,214,8,0,0,0
"Sambucus nigra",24,0,58,38,0,1,1,0,7,0,0,0,318,33,6,1,3,0,65,76,0,0,1
"Solanum dulcamara",2,0,0,13,0,0,0,0,0,0,0,0,5,20,0,0,0,0,5,0,0,0,0
"Sorbus aria",27,26,49,3,0,11,0,3,38,0,0,0,17,5,0,0,0,225,324,55,5,0,97
"Sorbus aucuparia",0,0,10,0,0,0,0,0,5,0,0,0,165,20,0,0,0,0,381,10,0,0,30
"Taxus baccata",0,0,0,11,0,0,0,1,0,0,0,0,503,0,0,0,0,33,232,221,0,2,104
"Viburnum lantana",0,0,0,134,0,0,0,0,0,0,0,0,0,38,0,0,0,0,77,0,0,0,0
"Viscum album",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,58,0,0,0,934
