"","Attila spadiceus","Celeus elegans","Chiroxiphia pareola","Cyanerpes caeruleus","Lepidothrix iris","Lophotriccus galeatus","Mionectes macconnelli","Phlegopsis nigromaculata","Piaya cayana","Pipra pipra","Pipra rubrocapilla","Thamnophilus aethiops","Trogon rufus","Turdus albicollis","Turdus leucomelas"
"Cladocolea micrantha",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Croton matourensis",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Euterpe oleracea",1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
"Geonoma macrostachys",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Inga SouzaGomes.unidsp.101",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Miconia ciliata",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"Myrcia splendens",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Piper aduncum",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Psidium guajava",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
"Psychotria colorata",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Pterocarpus officinalis",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Spermacoce verticillata",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Tabernaemontana angulata",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Virola surinamensis",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
