"","Artibeus fimbriatus","Artibeus lituratus","Carollia perspicillata","Chiroderma doriae","Platyrrhinus lineatus","Platyrrhinus recifinus","Pygoderma bilabiatum","Sturnira lilium"
"Cecropia pachystachya",2,19,0,1,1,2,0,0
"Ficus gomelleira",0,5,0,0,1,0,0,0
"Ficus SouzaLaurindo.unidsp.1",2,2,0,0,1,0,0,1
"Piper aduncum",0,1,5,0,0,0,0,0
"Piper mollicomum",0,0,6,0,0,0,0,0
"Piper SouzaLaurindo.unidsp.1",0,2,6,0,0,0,0,2
"Piper SouzaLaurindo.unidsp.2",0,4,5,0,0,0,0,1
"Piper SouzaLaurindo.unidsp.3",0,0,2,0,0,0,0,5
"Piper umbellatum",0,4,4,0,0,0,0,1
"Solanum paniculatum",0,3,0,0,1,0,1,16
"Solanum SouzaLaurindo.unidsp.1",0,11,0,0,0,0,0,22
"Solanum SouzaLaurindo.unidsp.2",0,0,0,0,0,0,0,7
"Solanum SouzaLaurindo.unidsp.3",0,0,0,0,0,0,0,4
"Vismia SouzaLaurindo.unidsp.1",0,1,0,0,0,0,0,0
