"","Ptilinopus purpuratus","Pycnonotus cafer","Zosterops lateralis"
"Cananga odorata",6,0,0
"Cecropia peltata",0,4,0
"Cyclophyllum barbatum",31,1,0
"Fagraea berteroana",1,2,4
"Ficus prolixa",5,0,0
"Freycinetia demissa",37,3,1
"Ixora mooreensis",6,0,0
"Lantana camara",4,21,8
"Macaranga attenuata",1,0,0
"Melastoma malabathricum",1,0,0
"Meryta lanceolata",6,0,0
"Miconia calvescens",88,19,85
"Passiflora suberosa",1,1,0
"Pavetta triflora",16,0,0
"Pittosporum taitense",0,0,1
"Premna serratifolia",2,0,0
"Pseudelephantopus spicatus",1,0,0
"Psidium guajava",1,0,0
"Rhus taitensis",1,7,5
"Rubus rosifolius",0,7,2
"Tarenna sambucina",113,51,0
"Unidentified Spotswood2012.unidsp.mult",19,3,4
"Xylosma suaveolens",3,0,0
