"","Aburria cumanensis","Alouatta seniculus","Amazona farinosa","Amazona ochrocephala","Ara macao","Ara severus","Aratinga leucophthalma","Ateles belzebuth","Aves Stevenson2015.unidsp.mult","Baryphthengus martii","Brotogeris cyanoptera","Cacicus cela","Cacicus haemorrhous","Cacicus solitarius","Campephilus melanoleucos","Capito auratus","Catharus ustulatus","Celeus elegans","Celeus flavus","Celeus grammicus","Chlorophanes spiza","Cissopis leverianus","Claravis pretiosa","Cotinga cayana","Cotinga maynana","Cyanerpes caeruleus","Cyanocorax violaceus","Dacnis cayana","Dacnis lineata","Empidonomus varius","Eubucco richardsoni","Euphonia laniirostris","Euphonia minuta","Euphonia rufiventris","Euphonia Stevenson2015.unidsp.991","Forpus conspicillatus","Gymnoderus foetidus","Hemithraupis flavicollis","Icterus cayanensis","Lagothrix lagothricha","Legatus leucophaius","Lepidothrix coronata","Lipaugus vociferans","Machaeropterus regulus","Melanerpes cruentatus","Mionectes oleagineus","Momotus momota","Myiodynastes maculatus","Myiozetetes similis","Myrmotherula axillaris","Ortalis motmot","Pachyramphus castaneus","Patagioenas plumbea","Patagioenas subvinacea","Penelope jacquacu","Piaya cayana","Piculus flavigula","Piculus rivolii","Piculus Stevenson2015.unidsp.195","Pionites melanocephalus","Pionus menstruus","Pipra erythrocephala","Pipra filicauda","Pipridae Stevenson2015.unidsp.mult","Piranga flava","Piranga Stevenson2015.unidsp.976","Pitangus sulphuratus","Porphyrolaema porphyrolaema","Psarocolius angustifrons","Psarocolius bifasciatus","Psarocolius decumanus","Psarocolius viridis","Psittacidae Stevenson2015.unidsp.363","Psophia crepitans","Pteroglossus azara","Pteroglossus castanotis","Pteroglossus inscriptus","Pteroglossus pluricinctus","Pteroglossus Stevenson2015.unidsp.942","Pyrrhura melanura","Querula purpurata","Ramphastos tucanus","Ramphastos vitellinus","Ramphocelus carbo","Ramphocelus nigrogularis","Ramphotrigon ruficauda","Rhytipterna simplex","Saimiri sciureus","Sapajus apella","Sciurus igniventris","Selenidera reinwardtii","Setophaga fusca","Setophaga striata","Tachyphonus luctuosus","Tachyphonus surinamus","Tangara callophrys","Tangara nigrocincta","Tangara schrankii","Tangara velia","Taraba major","Tersina viridis","Thraupis episcopus","Thraupis palmarum","Tityra cayana","Trogon curucui","Trogon melanurus","Trogon rufus","Trogon viridis","Turdus albicollis","Turdus ignobilis","Turdus Stevenson2015.unidsp.18","Tyrannidae Stevenson2015.unidsp.139","Tyrannus melancholicus","Tyrannus savana","Tyrannus tyrannus","Vireo leucophrys","Vireo Stevenson2015.unidsp.131","Xenopipo holochlora"
"Apeiba glabra",0,0,0,0,0,36.7,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brosimum alicastrum",0,55.1,0,0,0,0,0,8.6,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,17.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,17.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brosimum guianense",0,10.1,2.4,0,0,0,0,12.3,0.4,0,0,0,0,0,0,0.3,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.3,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brosimum lactescens",0,3.5,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.1,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
"Bursera inversa",0.3,0,0,0,0,0.1,0,36.7,0.4,0,0,0.1,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0.3,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0.3,5.2,0.5,0,0.1,0.2,6.2,0,0.8,0.3,0,0,0.3,1.5,0.3,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0.3,0,0.2,0,0,0,0,0,0,0,0
"Casearia aculeata",0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,43.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,3.7,0,0,0,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,1.9,0,0.9,0,0,0,0,0,0
"Castilla ulei",0.2,48.9,0,0,0,0,0,12.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,13.9,0,0,0,0,0,0,0.3,0,0,2.6,1.8,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cayaponia granatensis",0,0,0,0,0,0,0,45.5,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.8,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cecropia engleriana",0,0,0,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0.6,0,0,0,13.2,0,0,9.2,0,0,3.3,46.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cecropia membranacea",0.1,14.7,0,0,0,0,0,21.6,2.1,0,0,0.1,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,1.7,0.4,0,0,0,0,0,0,8.5,0,0.1,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,3.6,7.4,0,0,0,4.7,0,0.4,0,0,0,4,0,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0.4,0.5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
