"","Chloris chloris","Coccothraustes coccothraustes","Columba palumbus","Corvus corone corone","Cyanistes caeruleus","Erithacus rubecula","Ficedula hypoleuca","Fringilla coelebs","Garrulus glandarius","Parus major","Parus montanus","Passer domesticus","Passer montanus","Phoenicurus ochruros","Pica pica","Poecile palustris","Pyrrhula pyrrhula","Sturnus vulgaris","Sylvia atricapilla","Sylvia borin","Sylvia communis","Sylvia curruca","Turdus merula","Turdus philomelos","Turdus pilaris","Turdus viscivorus"
"Amelanchier lamarckii",0.11,0.89,0.22,0,0.28,0,0,0.22,0,0.06,0,11.67,0.44,0,0,0,0,0,1.33,0.83,0,0.06,6.17,0,2.56,0
"Fragaria vesca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Frangula alnus",0,0,0,0,0.03,0.67,0,0,0,0,0,0,0,0,0,0,0.06,0,1.33,0.3,0,0,0.09,0,0,0
"Lonicera xylosteum",0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.07,0,0,0.72,0.05,0,0,0.03,0.03,0,0
"Prunus avium",0,0.31,0,0.58,0.18,0,0,0,0.71,0.04,0,0,0,0,0.13,0,0,2.56,0.2,0.38,0,0,1.76,0.11,0.04,3.87
"Prunus padus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10.67,0,0,9.33,1.33,0,0
"Ribes rubrum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.17,0,0.03,0.19,0,0,0
"Rubus idaeus",0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0.39,1.44,0.17,0,0.06,0,0,0
"Sambucus nigra",0,0,0,0,0.75,0.5,0.08,0,0,0.08,0,0,0,0,0,0.17,0,0,7.5,2.33,0.08,0.08,1.5,1.67,0,0
"Sambucus racemosa",0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.13,0,0,0.02,0.04,0,0
"Sorbus aucuparia",0.05,0.1,0.17,0.18,0.03,0.17,0,0,0.02,0.02,0,0,0,0.07,0.03,0.17,0.13,0.23,0.55,0.25,0,0,3.6,0.98,2.9,0.42
"Viburnum lantana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0.67,0,0,1.67,0,0,0
