"","Artibeus gnomus","Artibeus lituratus","Artibeus phaeotis","Artibeus planirostris","Carollia brevicauda","Carollia castanea","Carollia perspicillata","Chiroderma villosum","Glossophaga soricina","Mesophylla macconnelli","Phylloderma stenops","Phyllostomus discolor","Phyllostomus hastatus","Rhinophylla fischerae","Rhinophylla pumilio","Sturnira lilium","Uroderma bilobatum","Uroderma magnirostrum"
"Cecropia angustifolia",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Cecropia peltata",1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0
"Cecropia sciadophylla",0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
"Ficus gomelleira",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Ficus schultesii",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Gurania Suarez-Castro2015.unidsp.24",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Passiflora Suarez-Castro2015.unidsp.359",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Philodendron Suarez-Castro2015.unidsp.567",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Piper arboreum",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
"Piper obliquum",0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
"Piper peltatum",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Piper Suarez-Castro2015.unidsp.89",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
"Senna bacillaris",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Solanum cyathophorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Solanum jamaicense",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"Unidentified Suarez-Castro2015.unidsp.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Unidentified Suarez-Castro2015.unidsp.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Vismia baccifera",0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"Vismia Suarez-Castro2015.unidsp.276",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
