"","Corythaeola cristata","Ruwenzorornis johnstoni","Tauraco schuetti"
"Alangium chinense",1,0,1
"Allophylus Sun1997.unidsp.988",0,1,0
"Balthasaria schliebenii",1,1,1
"Beilschmiedia troupinii",1,0,0
"Bridelia brideliifolia",0,0,1
"Canthium Sun1997.unidsp.1",1,0,0
"Casearia runssorica",0,1,1
"Ekebergia capensis",1,1,1
"Embelia schimperi",1,1,0
"Ficus oreodryadum",1,1,1
"Galiniera saxifraga",0,1,0
"Harungana montana",0,0,1
"Ilex mitis",1,1,1
"Ixora burundiensis",0,0,1
"Maesa lanceolata",1,1,1
"Olea capensis subsp. macrocarpa",1,1,1
"Olinia rochetiana",1,1,1
"Podocarpus milanjianus",1,1,1
"Prunus africana",1,1,1
"Psychotria mahonii",1,1,0
"Rapanea melanophloeos",1,1,0
"Salacia erecta",1,1,0
"Schefflera goetzenii",1,1,1
"Sericanthe leonardii",1,1,0
"Strombosia scheffleri",1,0,1
"Syzygium parvifolium",1,1,1
"Tricalysia niamniamensis",0,0,1
"Warneckea walikalensis",1,1,0
